subj_id,gender,age_group,age,age_centered,trial_nr,symmetric_position,target_position,eye_radius,eye_center_left_x,eye_center_right_x,eye_center_left_y,eye_center_right_y,pupil_final_left_x,pupil_final_right_x,pupil_final_left_y,pupil_final_right_y,target_center_x,target_center_y,click_scaled_x,click_dist_from_target_center_x,click_dist_balloons
gp1-4,f,30,38,20,14,3,3,37.28,872.12,1045.89,937.8,937.8,860.14,1029.85,911.69,913.97,500.1,126.67,162.48,-337.62,2.11
gp1-4,f,30,38,20,15,2,7,45.1,882.92,1041.46,871.69,871.69,897.41,1049.73,839.99,837.83,1223.34,126.67,1292.33,68.99,0.43
gp1-4,f,30,38,20,16,1,6,42.48,854.99,1059.5,923.25,923.25,865.18,1061.78,892.03,890.49,1114.96,126.67,1128.95,13.99,0.09
gp1-4,f,30,38,20,17,4,9,45.1,882.92,1041.46,871.69,871.69,906.29,1061.27,845.83,843.01,1556.23,126.67,1425.26,-130.97,0.82
gp1-4,f,30,38,20,18,5,10,37.28,872.12,1045.89,937.8,937.8,893.24,1064.76,918.33,916.14,1752.42,126.67,1746.49,-5.93,0.04
gp1-4,f,30,38,20,19,3,8,45.1,882.92,1041.46,871.69,871.69,903.13,1057.02,843.29,840.5,1413.19,126.67,1270.18,-143.01,0.89
gp1-5,m,30,37,19,5,2,7,45.1,882.92,1041.46,871.69,871.69,896.76,1048.94,839.7,837.65,1205.14,126.67,1211.01,5.87,0.04
gp1-5,m,30,37,19,6,5,10,37.28,872.12,1045.89,937.8,937.8,893.33,1064.87,918.42,916.24,1759.92,126.67,1540.01,-219.91,1.37
gp1-5,m,30,37,19,7,2,4,42.48,854.99,1059.5,923.25,923.25,845.7,1043.64,891.75,894.49,620.11,126.67,431,-189.1,1.18
gp1-5,m,30,37,19,8,1,5,45.1,882.92,1041.46,871.69,871.69,883.18,1034.44,836.84,837.55,888.37,126.67,882.01,-6.37,0.04
gp1-5,m,30,37,19,9,5,1,37.28,872.12,1045.89,937.8,937.8,853.87,1025.21,915.62,917.86,204.91,126.67,269,64.09,0.4
gp1-5,m,30,37,19,10,4,9,45.1,882.92,1041.46,871.69,871.69,906.19,1061.13,845.74,842.92,1550.91,126.67,1416.01,-134.9,0.84
gp1-5,m,30,37,19,11,3,8,42.48,854.99,1059.5,923.25,923.25,872.66,1071.2,895.56,892.56,1363.25,126.67,1367.01,3.76,0.02
gp1-5,m,30,37,19,12,1,6,37.28,872.12,1045.89,937.8,937.8,879.28,1047.13,909.98,909.1,1080.91,126.67,1102.01,21.1,0.13
gp1-5,m,30,37,19,13,3,3,37.28,872.12,1045.89,937.8,937.8,860.31,1029.98,911.61,913.88,506.42,126.67,317,-189.41,1.18
gp1-5,m,30,37,19,14,3,3,45.1,882.92,1041.46,871.69,871.69,867.2,1021.13,840.58,843.38,506.42,126.67,337,-169.41,1.06
gp1-5,m,30,37,19,15,3,8,42.48,854.99,1059.5,923.25,923.25,872.66,1071.2,895.56,892.56,1363.25,126.67,1335.01,-28.24,0.18
gp1-5,m,30,37,19,16,1,6,37.28,872.12,1045.89,937.8,937.8,879.28,1047.13,909.98,909.1,1080.91,126.67,1078.01,-2.9,0.02
gp1-5,m,30,37,19,17,5,1,45.1,882.92,1041.46,871.69,871.69,859.46,1015.43,845.91,848.51,204.91,126.67,231,26.09,0.16
gp1-5,m,30,37,19,18,5,10,42.48,854.99,1059.5,923.25,923.25,879.64,1081.19,901.55,898.59,1759.92,126.67,1676.01,-83.91,0.52
gp1-5,m,30,37,19,19,1,5,45.1,882.92,1041.46,871.69,871.69,883.18,1034.44,836.84,837.55,888.37,126.67,903.01,14.63,0.09
gp1-6,f,20,25,7,5,5,10,45.1,882.92,1041.46,871.69,871.69,908.27,1063.99,847.77,845.09,1672.49,126.67,1518.01,-154.47,0.97
gp1-6,f,20,25,7,6,3,8,42.48,854.99,1059.5,923.25,923.25,872.58,1071.09,895.51,892.52,1359.98,126.67,1250.41,-109.57,0.68
gp1-6,f,20,25,7,7,2,4,37.28,872.12,1045.89,937.8,937.8,866.37,1034.8,909.66,911.3,706.29,126.67,756.01,49.71,0.31
gp1-6,f,20,25,7,8,1,6,42.48,854.99,1059.5,923.25,923.25,861.97,1058.21,891.16,890.43,1028.15,126.67,951.61,-76.54,0.48
gp1-6,f,20,25,7,9,4,2,45.1,882.92,1041.46,871.69,871.69,861.66,1017.03,844.07,846.83,309.58,126.67,601.21,291.63,1.82
gp1-6,f,20,25,7,10,5,1,37.28,872.12,1045.89,937.8,937.8,853.81,1025.17,915.67,917.9,201.17,126.67,279.6,78.43,0.49
gp1-6,f,20,25,7,11,4,9,45.1,882.92,1041.46,871.69,871.69,907.67,1063.17,847.15,844.42,1634.51,126.67,1574.42,-60.1,0.38
gp1-6,f,20,25,7,12,1,5,42.48,854.99,1059.5,923.25,923.25,858.1,1054.26,890.55,890.83,930.73,126.67,936.01,5.28,0.03
gp1-6,f,20,25,7,13,2,7,37.28,872.12,1045.89,937.8,937.8,885.03,1053.86,912.14,910.2,1280.19,126.67,1350.01,69.82,0.44
