subj_id,gender,age_group,age,age_centered,trial_nr,symmetric_position,target_position,eye_radius,eye_center_left_x,eye_center_right_x,eye_center_left_y,eye_center_right_y,pupil_final_left_x,pupil_final_right_x,pupil_final_left_y,pupil_final_right_y,target_center_x,target_center_y,click_scaled_x,click_dist_from_target_center_x,click_dist_balloons,time_taken,country,fluent_languages
2AcAMqCP,m,5,5.87,2.83,6,1,6,45.1,882.92,1041.46,871.69,871.69,893.59,1045.23,838.51,837.04,1122.44,126.67,1294.04,171.6,1.07,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,7,5,10,45.1,882.92,1041.46,871.69,871.69,910.35,1066.85,850.19,847.81,1833.34,126.67,1695.44,-137.9,0.86,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,8,3,3,42.48,854.99,1059.5,923.25,923.25,842.54,1041.29,892.86,895.92,528.75,126.67,404.21,-124.54,0.78,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,9,3,8,37.28,872.12,1045.89,937.8,937.8,889.48,1059.63,914.92,912.57,1487.54,126.67,1649.12,161.59,1.01,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,10,4,2,45.1,882.92,1041.46,871.69,871.69,863.28,1018.22,842.9,845.72,374.67,126.67,318.6,-56.07,0.35,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,11,1,5,42.48,854.99,1059.5,923.25,923.25,852.29,1048.95,890.52,892.15,789.2,126.67,912.28,123.08,0.77,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,12,2,7,37.28,872.12,1045.89,937.8,937.8,883.18,1051.6,911.29,909.65,1210.41,126.67,1382.46,172.04,1.08,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,13,2,4,37.28,872.12,1045.89,937.8,937.8,866.01,1034.5,909.73,911.43,695.46,126.67,738.25,42.79,0.27,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,14,2,7,42.48,854.99,1059.5,923.25,923.25,868.37,1065.61,893.26,890.98,1210.41,126.67,1327.72,117.31,0.73,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,15,2,4,45.1,882.92,1041.46,871.69,871.69,874.42,1026.78,837.89,840.08,695.46,126.67,658.25,-37.21,0.23,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,16,1,6,42.48,854.99,1059.5,923.25,923.25,865.44,1062.09,892.11,890.51,1122.44,126.67,1105.96,-16.47,0.1,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,17,4,9,37.28,872.12,1045.89,937.8,937.8,891.06,1061.76,916.2,913.86,1583.42,126.67,1482.11,-101.31,0.63,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,18,3,8,45.1,882.92,1041.46,871.69,871.69,904.88,1059.36,844.63,841.79,1487.54,126.67,1425.96,-61.57,0.38,NA,NA,NA
2AcAMqCP,m,5,5.87,2.83,19,1,5,45.1,882.92,1041.46,871.69,871.69,878.57,1030.28,837.11,838.68,789.2,126.67,557.19,-232.01,1.45,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,5,5,1,42.48,854.99,1059.5,923.25,923.25,835.19,1036.13,897.05,900.17,253.12,126.67,580.14,327.02,2.04,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,6,2,7,45.1,882.92,1041.46,871.69,871.69,898.09,1050.56,840.31,838.04,1242.99,126.67,1194.82,-48.17,0.3,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,7,4,9,37.28,872.12,1045.89,937.8,937.8,891.61,1062.5,916.69,914.37,1620.95,126.67,1179.28,-441.67,2.76,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,8,2,4,42.48,854.99,1059.5,923.25,923.25,846.23,1044.04,891.6,894.27,634.61,126.67,833.96,199.34,1.25,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,9,1,6,45.1,882.92,1041.46,871.69,871.69,892.98,1044.53,838.32,836.97,1107.42,126.67,930.65,-176.77,1.1,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,10,4,2,42.48,854.99,1059.5,923.25,923.25,835.98,1036.68,896.47,899.63,289.64,126.67,680.29,390.65,2.44,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,11,1,5,37.28,872.12,1045.89,937.8,937.8,870.43,1038.32,909.12,910.09,824.29,126.67,930.65,106.35,0.66,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,12,3,8,45.1,882.92,1041.46,871.69,871.69,901.4,1054.75,842.14,839.47,1348.65,126.67,1168.92,-179.73,1.12,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,13,5,10,42.48,854.99,1059.5,923.25,923.25,880.48,1082.41,902.53,899.72,1834.89,126.67,1269.06,-565.82,3.54,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,14,2,7,37.28,872.12,1045.89,937.8,937.8,884.06,1052.67,911.68,909.89,1242.99,126.67,1187.91,-55.07,0.34,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,15,5,10,45.1,882.92,1041.46,871.69,871.69,910.37,1066.87,850.21,847.83,1834.89,126.67,1332.95,-501.94,3.14,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,16,5,1,37.28,872.12,1045.89,937.8,937.8,854.69,1025.81,914.96,917.26,253.12,126.67,616.4,363.28,2.27,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,17,3,3,45.1,882.92,1041.46,871.69,871.69,866.65,1020.71,840.87,843.68,489.6,126.67,699.28,209.68,1.31,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,18,2,4,42.48,854.99,1059.5,923.25,923.25,846.23,1044.04,891.6,894.27,634.61,126.67,811.51,176.9,1.11,NA,NA,NA
2KBSeT3M,m,4,4.31,1.27,19,1,6,37.28,872.12,1045.89,937.8,937.8,880.12,1048.06,910.21,909.16,1107.42,126.67,989.35,-118.07,0.74,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,5,2,7,37.28,872.12,1045.89,937.8,937.8,882.63,1050.94,911.06,909.52,1190.87,126.67,1108.01,-82.86,0.52,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,6,1,6,42.48,854.99,1059.5,923.25,923.25,864.6,1061.11,891.84,890.45,1098.66,126.67,999.01,-99.65,0.62,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,7,4,2,37.28,872.12,1045.89,937.8,937.8,856.22,1026.92,913.88,916.23,332.84,126.67,951.01,618.17,3.86,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,8,3,3,42.48,854.99,1059.5,923.25,923.25,841.65,1040.64,893.24,896.36,500.8,126.67,641.01,140.2,0.88,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,9,1,5,45.1,882.92,1041.46,871.69,871.69,886.44,1037.6,837.01,837.05,958.45,126.67,917.01,-41.45,0.26,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,10,3,8,37.28,872.12,1045.89,937.8,937.8,887.38,1056.85,913.46,911.25,1380.6,126.67,1268.01,-112.59,0.7,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,11,2,4,42.48,854.99,1059.5,923.25,923.25,848.26,1045.62,891.1,893.48,688.16,126.67,828.01,139.84,0.87,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,12,5,10,45.1,882.92,1041.46,871.69,871.69,908.89,1064.83,848.44,845.83,1714.94,126.67,1295.01,-419.93,2.62,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,13,4,9,45.1,882.92,1041.46,871.69,871.69,905.09,1059.65,844.8,841.96,1497.11,126.67,1275.01,-222.1,1.39,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,14,2,4,37.28,872.12,1045.89,937.8,937.8,865.77,1034.3,909.79,911.52,688.16,126.67,973.01,284.84,1.78,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,15,1,5,42.48,854.99,1059.5,923.25,923.25,859.22,1055.37,890.68,890.67,958.45,126.67,807.01,-151.45,0.95,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,16,1,6,37.28,872.12,1045.89,937.8,937.8,879.85,1047.75,910.13,909.14,1098.66,126.67,900.01,-198.65,1.24,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,17,4,9,45.1,882.92,1041.46,871.69,871.69,905.09,1059.65,844.8,841.96,1497.11,126.67,1172.01,-325.1,2.03,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,18,2,7,42.48,854.99,1059.5,923.25,923.25,867.75,1064.84,892.99,890.84,1190.87,126.67,931.01,-259.86,1.62,NA,NA,NA
2tJL6v8M,m,5,5.57,2.53,19,5,10,42.48,854.99,1059.5,923.25,923.25,879.08,1080.37,900.93,897.89,1714.94,126.67,955.01,-759.93,4.75,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,5,4,2,37.28,872.12,1045.89,937.8,937.8,855.66,1026.52,914.26,916.59,305.19,126.67,92,-213.19,1.33,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,6,3,8,42.48,854.99,1059.5,923.25,923.25,873.06,1071.76,895.83,892.78,1379.89,126.67,1260,-119.89,0.75,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,7,3,3,42.48,854.99,1059.5,923.25,923.25,845.02,1043.12,891.95,894.78,601.34,126.67,276,-325.34,2.03,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,8,2,7,37.28,872.12,1045.89,937.8,937.8,885.45,1054.39,912.36,910.36,1297.08,126.67,1168,-129.08,0.81,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,9,1,6,45.1,882.92,1041.46,871.69,871.69,891.83,1043.26,837.99,836.88,1079.95,126.67,954,-125.95,0.79,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,10,4,9,37.28,872.12,1045.89,937.8,937.8,891.77,1062.73,916.85,914.53,1632.95,126.67,1364,-268.95,1.68,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,11,5,10,42.48,854.99,1059.5,923.25,923.25,878.85,1080.02,900.68,897.61,1697.09,126.67,1782,84.91,0.53,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,12,2,4,45.1,882.92,1041.46,871.69,871.69,873.52,1026.05,838.13,840.43,674.25,126.67,484,-190.25,1.19,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,13,1,5,45.1,882.92,1041.46,871.69,871.69,879.6,1031.18,836.99,838.38,811.61,126.67,932,120.39,0.75,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,14,3,8,42.48,854.99,1059.5,923.25,923.25,873.06,1071.76,895.83,892.78,1379.89,126.67,1226,-153.89,0.96,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,15,3,3,37.28,872.12,1045.89,937.8,937.8,863.02,1032.08,910.55,912.61,601.34,126.67,570,-31.34,0.2,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,16,1,5,37.28,872.12,1045.89,937.8,937.8,869.98,1037.92,909.15,910.2,811.61,126.67,954,142.39,0.89,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,17,1,6,45.1,882.92,1041.46,871.69,871.69,891.83,1043.26,837.99,836.88,1079.95,126.67,1076,-3.95,0.02,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,18,5,10,42.48,854.99,1059.5,923.25,923.25,878.85,1080.02,900.68,897.61,1697.09,126.67,1334,-363.09,2.27,NA,NA,NA
35zXz9Fv,f,6,6.38,3.34,19,5,1,45.1,882.92,1041.46,871.69,871.69,858.79,1014.94,846.54,849.07,167.96,126.67,418,250.04,1.56,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,5,1,5,45.1,882.92,1041.46,871.69,871.69,885.49,1036.66,836.93,837.17,937.92,126.67,954.52,16.59,0.1,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,6,3,8,42.48,854.99,1059.5,923.25,923.25,874.19,1073.31,896.6,893.45,1428.77,126.67,1250.6,-178.18,1.11,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,7,5,1,42.48,854.99,1059.5,923.25,923.25,834.56,1035.7,897.54,900.62,221.93,126.67,357.12,135.19,0.84,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,8,4,2,37.28,872.12,1045.89,937.8,937.8,856.64,1027.23,913.6,915.96,353.15,126.67,380.7,27.55,0.17,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,9,2,7,45.1,882.92,1041.46,871.69,871.69,899.21,1051.96,840.88,838.45,1276.74,126.67,1447.11,170.36,1.06,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,10,3,3,37.28,872.12,1045.89,937.8,937.8,859.05,1029.03,912.22,914.54,457.79,126.67,511.71,53.92,0.34,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,11,4,9,45.1,882.92,1041.46,871.69,871.69,908.02,1063.64,847.51,844.8,1656.11,126.67,1475.93,-180.18,1.13,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,12,5,10,42.48,854.99,1059.5,923.25,923.25,880.38,1082.27,902.41,899.58,1825.59,126.67,1795.59,-30,0.19,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,13,2,4,42.48,854.99,1059.5,923.25,923.25,847.78,1045.25,891.21,893.66,675.82,126.67,239.21,-436.6,2.73,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,14,2,4,45.1,882.92,1041.46,871.69,871.69,873.58,1026.1,838.11,840.4,675.82,126.67,561.49,-114.32,0.71,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,15,1,5,37.28,872.12,1045.89,937.8,937.8,874.44,1042.1,909.17,909.33,937.92,126.67,886.39,-51.53,0.32,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,16,5,1,42.48,854.99,1059.5,923.25,923.25,834.56,1035.7,897.54,900.62,221.93,126.67,186.81,-35.12,0.22,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,17,3,3,45.1,882.92,1041.46,871.69,871.69,865.65,1019.96,841.42,844.25,457.79,126.67,189.43,-268.36,1.68,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,18,1,6,37.28,872.12,1045.89,937.8,937.8,880.24,1048.19,910.25,909.17,1111.17,126.67,1282.04,170.87,1.07,NA,NA,NA
3AUUwevx,m,6,6.5,3.46,19,2,7,45.1,882.92,1041.46,871.69,871.69,899.21,1051.96,840.88,838.45,1276.74,126.67,1282.04,5.29,0.03,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,5,5,1,37.28,872.12,1045.89,937.8,937.8,852.57,1024.27,916.75,918.88,118.92,126.67,435.56,316.64,1.98,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,6,1,5,45.1,882.92,1041.46,871.69,871.69,878.77,1030.45,837.08,838.62,793.54,126.67,897.78,104.24,0.65,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,7,4,2,37.28,872.12,1045.89,937.8,937.8,857.8,1028.09,912.9,915.25,405.7,126.67,785.78,380.08,2.38,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,8,4,9,42.48,854.99,1059.5,923.25,923.25,875.76,1075.53,897.81,894.59,1505.13,126.67,1320.89,-184.24,1.15,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,9,2,4,45.1,882.92,1041.46,871.69,871.69,874.11,1026.53,837.97,840.19,688.32,126.67,807.11,118.79,0.74,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,10,1,6,37.28,872.12,1045.89,937.8,937.8,875.69,1043.35,909.3,909.19,973.78,126.67,940.44,-33.33,0.21,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,11,3,8,42.48,854.99,1059.5,923.25,923.25,871.74,1069.96,895,892.12,1327.26,126.67,1217.78,-109.49,0.68,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,12,2,7,45.1,882.92,1041.46,871.69,871.69,899.3,1052.07,840.93,838.49,1279.67,126.67,1148.44,-131.23,0.82,NA,NA,NA
3F6fEdLi,m,5,5.08,2.04,13,5,10,37.28,872.12,1045.89,937.8,937.8,894.12,1065.97,919.33,917.25,1838.48,126.67,1397.33,-441.14,2.76,NA,NA,NA
