b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.298921,0.0394689,4.13232,0.424421,-0.298921,2.65098,-175.008,0.641522
-0.32945,0.0174946,4.53515,0.399286,-0.32945,3.15551,-176.253,0.695789
-0.271269,0.0240333,2.14229,0.423819,-0.271269,2.83312,-178.305,1.32247
-0.267744,0.0240762,2.39391,0.425383,-0.267744,3.32765,-179.607,1.39005
-0.277082,0.0307951,2.86672,0.410269,-0.277082,3.11943,-177.674,1.08816
-0.295345,0.0461412,2.26171,0.439114,-0.295345,2.55541,-177.398,1.12986
-0.33358,0.0232927,4.60286,0.428278,-0.33358,3.34509,-175.326,0.72674
-0.333346,0.03076,5.88291,0.415394,-0.333346,3.47417,-175.972,0.590553
-0.298342,0.0256069,2.31218,0.418688,-0.298342,2.90963,-174.679,1.25839
-0.303926,0.0277737,2.28175,0.416105,-0.303926,3.06846,-174.57,1.34478
-0.296175,0.0276688,3.84083,0.417234,-0.296175,2.42286,-175.492,0.630817
-0.337968,0.0386253,4.49665,0.423806,-0.337968,3.31217,-175.752,0.736586
-0.324298,0.00492939,5.48025,0.431433,-0.324298,3.09169,-175.476,0.564151
-0.313299,0.0371691,2.44007,0.405632,-0.313299,2.83884,-175.045,1.16343
-0.322627,0.0135943,4.09074,0.43093,-0.322627,3.43496,-175.5,0.839691
-0.304452,0.0457195,3.43292,0.42285,-0.304452,2.82564,-174.815,0.823102
-0.340351,0.0548895,4.47955,0.415495,-0.340351,3.00071,-176.836,0.669868
-0.302349,0.00731846,2.12215,0.410832,-0.302349,3.288,-176.274,1.54937
-0.32068,0.0279244,3.86033,0.418141,-0.32068,2.84581,-173.731,0.737193
-0.31998,0.0321301,3.59899,0.414411,-0.31998,2.83714,-173.887,0.788318
-0.309393,0.0111519,3.49192,0.423965,-0.309393,2.69981,-174.46,0.77316
-0.311673,0.0377639,8.56259,0.435195,-0.311673,3.44264,-176.98,0.402056
-0.304648,0.0338245,6.44208,0.42845,-0.304648,2.87594,-174.866,0.44643
-0.290984,0.0124815,5.69527,0.424976,-0.290984,2.98704,-175.705,0.524477
-0.327205,0.0359522,2.44103,0.437903,-0.327205,2.68463,-175.757,1.09979
-0.317982,0.0232869,2.45824,0.413748,-0.317982,2.49799,-174.68,1.01617
-0.320387,0.0275306,3.24877,0.431056,-0.320387,2.72969,-174.355,0.840223
-0.304593,0.0353084,3.55642,0.411355,-0.304593,2.58603,-174.815,0.727144
-0.324083,0.0274722,1.25754,0.444805,-0.324083,2.24164,-179.293,1.78256
-0.340586,0.0351022,2.53972,0.409932,-0.340586,2.87047,-175.688,1.13023
-0.298517,0.0180831,2.37409,0.430478,-0.298517,3.15423,-175.461,1.3286
-0.275964,0.0222352,2.28443,0.41679,-0.275964,3.13383,-177.731,1.37182
-0.305973,0.0194954,2.65763,0.414714,-0.305973,3.19404,-174.57,1.20184
-0.321731,-0.0226787,3.69733,0.414711,-0.321731,3.15902,-178.749,0.854406
-0.31567,-0.00587284,5.33056,0.414283,-0.31567,3.18966,-176.215,0.598372
-0.329197,0.0190104,2.59375,0.409366,-0.329197,2.99872,-174.754,1.15613
-0.31096,0.0164215,2.94258,0.425832,-0.31096,3.24214,-174.548,1.1018
-0.312921,0.0253746,2.61927,0.425471,-0.312921,2.4548,-174.731,0.937208
-0.304206,0.0467995,3.31715,0.446824,-0.304206,2.06258,-179.809,0.621793
-0.3416,-0.00582077,2.39487,0.398486,-0.3416,3.21656,-179.914,1.34311
-0.274464,0.0499915,2.93864,0.456565,-0.274464,3.07268,-182.859,1.04561
-0.273433,0.0473904,3.08334,0.457883,-0.273433,2.62741,-183.089,0.85213
-0.28528,0.0271631,3.83801,0.406599,-0.28528,3.23836,-176.917,0.843759
-0.313671,0.0185619,3.36884,0.4024,-0.313671,2.78973,-175.112,0.828098
-0.320859,0.0342038,4.61759,0.438985,-0.320859,2.99116,-175.409,0.647774
-0.313942,0.00207909,1.91319,0.436865,-0.313942,2.72143,-176.718,1.42246
-0.308285,0.0344959,1.7196,0.437817,-0.308285,2.61976,-176.375,1.52347
-0.304766,0.0195035,7.31869,0.401105,-0.304766,3.62262,-178.203,0.494982
-0.30484,0.0166253,6.64637,0.39993,-0.30484,2.68169,-176.62,0.403482
-0.300507,0.0196186,5.71595,0.412841,-0.300507,3.42731,-175.728,0.599604
-0.330817,0.0462226,2.10026,0.420844,-0.330817,2.28329,-176.652,1.08714
-0.300758,0.00975745,3.28644,0.419429,-0.300758,3.47489,-175.867,1.05734
-0.325112,0.00538619,2.54171,0.41791,-0.325112,2.58713,-175.311,1.01787
-0.322686,0.00371913,2.63039,0.413404,-0.322686,2.52298,-175.726,0.959168
-0.250998,0.0131354,2.77684,0.425924,-0.250998,2.6009,-183.095,0.936641
-0.305186,0.0235192,2.7595,0.423463,-0.305186,3.17367,-174.417,1.15009
-0.33649,0.0295957,3.41535,0.414747,-0.33649,3.0883,-174.769,0.904241
-0.337389,0.0295463,3.58582,0.41445,-0.337389,3.43636,-175.875,0.958321
-0.282502,0.0183255,1.77873,0.424914,-0.282502,2.97244,-177.196,1.6711
-0.329231,0.0230998,6.02022,0.428298,-0.329231,3.26722,-175.11,0.542708
-0.334842,0.0255144,5.22519,0.421288,-0.334842,2.66713,-174.823,0.510437
-0.340753,0.00863475,3.22328,0.422702,-0.340753,3.08403,-175.582,0.956798
-0.299083,0.0311125,5.12355,0.409909,-0.299083,3.14939,-175.145,0.61469
-0.32408,0.0056792,9.72315,0.419826,-0.32408,2.55643,-176.507,0.262922
