model,elpd_diff,se_diff,elpd_waic,se_elpd_waic,p_waic,se_p_waic,waic,se_waic,modelweight
mLifespanS,0,0,-74.3120188061676,23.6028933285456,10.9841825558127,0.848623803871595,148.624037612335,47.2057866570911,0.795558077370976
mLifespanGP,-1.3587695956686,1.08529888559703,-75.6707884018361,23.7250086011435,11.1531483639587,0.865556446051457,151.341576803672,47.450017202287,0.204439943354712
mLifespanS5,-12.9040688673541,5.55687960468274,-87.2160876735218,24.0415588728692,6.64969657932782,0.481649524646173,174.432175347044,48.0831177457383,0.00000197927430346232
mLifespanS4,-32.2631552241654,8.67046129697296,-106.575174030333,24.4709286611918,5.66502181492839,0.425283015832495,213.150348060666,48.9418573223836,0.00000000000000774393335760696
mLifespanQuadratic,-96.8704592849553,15.2684711714538,-171.182478091123,26.7942085138893,4.55071215889042,0.373170765118609,342.364956182246,53.5884170277786,0.000000000000000000000000000000000000000000676652923652049
mLifespanS3,-97.2923972954041,15.4105527508922,-171.604416101572,26.8929312700557,4.41072295268898,0.362442201867138,343.208832203143,53.7858625401115,0.000000000000000000000000000000000000000000443731860780247
mLifespanS2,-97.3587407778172,15.4033410693061,-171.670759583985,26.885776439176,4.47629644108766,0.367174449453561,343.34151916797,53.771552878352,0.000000000000000000000000000000000000000000415248435312874
mLifespanLinear,-128.880520852665,18.3259091589046,-203.192539658832,27.7374297814432,3.22667430689029,0.298630679023802,406.385079317664,55.4748595628864,0.00000000000000000000000000000000000000000000000000000000848345691246554
mLifespanCubic,-7663.11140479793,623.96622731957,-7737.42342360409,624.68222936019,7264.56726532657,623.136270112009,15474.8468472082,1249.36445872038,0
