b_Intercept,b_age_centered,sigma,Intercept,lp__
-0.263763,-0.00233978,0.443529,-0.311239,-204.549
-0.269591,-0.00195599,0.436419,-0.30928,-204.257
-0.278787,-0.00134896,0.434362,-0.306158,-204.444
-0.261268,-0.00199022,0.430517,-0.301651,-204.846
-0.288333,-0.00219621,0.440861,-0.332896,-204.81
-0.29639,-0.00147994,0.456949,-0.326419,-205.424
-0.274012,-0.00261934,0.459534,-0.32716,-206.4
-0.306332,-0.000502005,0.444008,-0.316518,-205.268
-0.254358,-0.00218627,0.43571,-0.298719,-204.914
-0.26937,-0.00234376,0.455531,-0.316927,-205.382
-0.266553,-0.00297087,0.417153,-0.326834,-207.696
-0.268897,-0.00243681,0.471756,-0.318341,-208.062
-0.301835,-0.00205025,0.440359,-0.343436,-205.553
-0.226775,-0.00208771,0.459235,-0.269136,-209.441
-0.280552,-0.00111853,0.422849,-0.303248,-205.715
-0.243922,-0.00282381,0.431663,-0.301219,-205.806
-0.308799,-0.000941692,0.449451,-0.327906,-205.137
-0.246251,-0.00205339,0.444442,-0.287916,-205.776
-0.26388,-0.00268162,0.43358,-0.318293,-205.016
-0.279591,-0.00195941,0.438261,-0.319349,-204.159
-0.315906,-0.000248378,0.442249,-0.320945,-205.785
-0.250138,-0.00297837,0.444886,-0.310572,-205.59
-0.271753,-0.00085267,0.448513,-0.289054,-206.277
-0.325985,-0.000673569,0.425508,-0.339652,-206.721
-0.251374,-0.0021105,0.456234,-0.294197,-206.122
-0.254243,-0.00246658,0.462941,-0.304292,-206.75
-0.287016,-0.00035051,0.46308,-0.294128,-208.189
-0.276319,-0.0010565,0.445994,-0.297756,-205.194
-0.298982,0.000134555,0.438886,-0.296251,-207.486
-0.289006,-0.00069182,0.44139,-0.303043,-205.208
-0.298219,-0.000461246,0.437916,-0.307578,-205.429
-0.271863,-0.00145108,0.442135,-0.301306,-204.578
-0.250809,-0.00246951,0.444696,-0.300917,-205.125
-0.316825,-0.000792856,0.434549,-0.332912,-205.316
-0.275458,-0.00239591,0.432735,-0.324073,-204.758
-0.275327,-0.00239385,0.434472,-0.3239,-204.676
-0.302994,-0.000971483,0.432138,-0.322706,-204.745
-0.262937,-0.00192802,0.437723,-0.302058,-204.517
-0.311188,-0.000773264,0.428738,-0.326878,-205.385
-0.245905,-0.00386192,0.439777,-0.324266,-208.009
-0.301004,-0.000906101,0.457047,-0.31939,-205.693
-0.301603,-0.00135304,0.43032,-0.329057,-204.761
-0.264358,-0.0019883,0.431822,-0.304702,-204.609
-0.287327,-0.0018055,0.447372,-0.323962,-204.456
-0.256008,-0.00276544,0.466448,-0.312121,-207.512
-0.252034,-0.00289134,0.469519,-0.310702,-208.295
-0.295113,-0.00125106,0.459684,-0.320498,-205.741
-0.276183,-0.00174653,0.428658,-0.311621,-204.529
-0.282588,-0.0016103,0.44499,-0.315262,-204.222
-0.280637,-0.0016846,0.454055,-0.314819,-204.897
-0.289733,-0.00125992,0.454411,-0.315298,-205.065
-0.266824,-0.00234108,0.423183,-0.314327,-205.436
-0.286033,-0.00240911,0.444693,-0.334916,-205.243
-0.252231,-0.00236389,0.422534,-0.300197,-206.068
-0.309449,-0.00120595,0.467821,-0.333919,-207.557
-0.279472,-0.00181351,0.445894,-0.316269,-204.272
-0.251185,-0.0022416,0.440133,-0.296669,-205.057
-0.275299,-0.00296174,0.445184,-0.335394,-206.163
-0.28728,-0.0022767,0.443792,-0.333476,-204.981
-0.277138,-0.00107569,0.434528,-0.298965,-205.027
-0.297355,-0.00145696,0.451041,-0.326918,-204.842
-0.288067,-0.00196467,0.447037,-0.327932,-204.623
-0.286529,-0.00189102,0.4309,-0.324899,-204.499
-0.299561,-0.00143195,0.430227,-0.328617,-204.708
-0.282865,-0.00209796,0.422779,-0.325434,-205.419
-0.315142,-0.000667954,0.424261,-0.328695,-206.104
-0.275275,-0.0012337,0.437413,-0.300307,-204.733
-0.295573,-0.00146625,0.436506,-0.325324,-204.288
-0.315577,-0.000651705,0.431101,-0.3288,-205.491
-0.243996,-0.00268967,0.419447,-0.298572,-207.136
-0.266924,-0.00171836,0.439679,-0.301791,-204.478
-0.27363,-0.00149758,0.433337,-0.304017,-204.514
-0.303655,-0.00166084,0.444356,-0.337355,-204.991
-0.293584,-0.0017661,0.443642,-0.32942,-204.479
-0.268329,-0.00189742,0.444691,-0.306829,-204.405
-0.289283,-0.00183623,0.434543,-0.326541,-204.365
-0.276453,-0.00208889,0.439627,-0.318838,-204.225
-0.267292,-0.00271529,0.447534,-0.322387,-205.243
-0.325454,-0.00100766,0.441,-0.345901,-206.068
-0.245483,-0.00373749,0.437394,-0.321319,-207.558
-0.25773,-0.00275431,0.443399,-0.313617,-205.076
-0.257124,-0.00264624,0.444876,-0.310818,-204.996
-0.256246,-0.00276259,0.441612,-0.312301,-205.067
-0.256958,-0.00285198,0.442435,-0.314827,-205.216
-0.304992,-0.00199023,0.431782,-0.345375,-205.971
-0.304091,-0.00198579,0.429163,-0.344384,-206.051
-0.30946,-0.00181684,0.429909,-0.346326,-206.147
-0.252802,-0.00222519,0.46476,-0.297953,-207.131
-0.301966,-0.00142842,0.452136,-0.33095,-205.127
-0.262429,-0.00120054,0.453359,-0.286789,-206.527
-0.231175,-0.00197703,0.43611,-0.271291,-208.021
-0.301675,-0.000778316,0.448953,-0.317468,-205.073
-0.248425,-0.00250606,0.455944,-0.299275,-206.114
-0.277127,-0.00164024,0.445463,-0.310409,-204.303
-0.301618,-0.000678553,0.432391,-0.315386,-205.072
-0.326136,-0.00109259,0.42687,-0.348305,-206.944
-0.256124,-0.00150111,0.436386,-0.286583,-205.803
-0.252001,-0.00187356,0.441941,-0.290017,-205.422
-0.270123,-0.000804424,0.443488,-0.286445,-206.4
-0.255261,-0.00209482,0.446416,-0.297767,-205.044
-0.336976,-0.00013263,0.440829,-0.339668,-207.008
-0.280283,-0.00197987,0.434759,-0.320456,-204.247
-0.248472,-0.00379028,0.435244,-0.32538,-207.921
-0.254384,-0.00310026,0.438659,-0.317291,-205.702
-0.26927,-0.00255092,0.442194,-0.32103,-204.759
-0.297301,-0.000777638,0.432065,-0.31308,-204.953
-0.288502,-0.00220354,0.432672,-0.333213,-204.994
-0.275886,-0.00282238,0.432683,-0.333155,-205.843
-0.270218,-0.00273339,0.41937,-0.32568,-206.757
-0.293046,-0.000693815,0.451244,-0.307124,-205.518
-0.268334,-0.00253063,0.449699,-0.319683,-205.072
-0.302977,-0.00126933,0.430975,-0.328733,-204.753
-0.283926,-0.00138287,0.463337,-0.311986,-206.217
-0.294198,-0.00191548,0.45822,-0.333065,-205.898
-0.312303,-0.000673964,0.461526,-0.325978,-206.735
-0.30387,-0.000856643,0.424624,-0.321252,-205.507
-0.263182,-0.00232274,0.423947,-0.310313,-205.384
-0.255043,-0.0023223,0.443271,-0.302164,-204.844
-0.259365,-0.00176548,0.437935,-0.295188,-204.929
-0.288306,-0.000499115,0.440827,-0.298433,-205.802
-0.252288,-0.00200796,0.438736,-0.293031,-205.182
-0.263446,-0.00131602,0.427032,-0.290149,-206.093
-0.244741,-0.00339043,0.461633,-0.313536,-207.996
-0.260311,-0.00254999,0.46038,-0.312052,-206.258
-0.305087,-0.00256202,0.435513,-0.357072,-207.894
-0.306564,-0.0013612,0.423159,-0.334184,-205.779
-0.29301,-0.0019888,0.426194,-0.333365,-205.357
-0.325764,-0.000229309,0.424917,-0.330416,-207.043
-0.291986,-0.00173731,0.463108,-0.327237,-206.285
-0.270923,-0.00168159,0.454741,-0.305043,-205.189
-0.264783,-0.0015021,0.457896,-0.295262,-206.127
-0.28595,-0.000867063,0.438252,-0.303544,-204.922
-0.233171,-0.00247298,0.449526,-0.28335,-206.908
-0.233249,-0.00238222,0.448915,-0.281586,-206.98
-0.233209,-0.00249178,0.445526,-0.283769,-206.68
-0.239425,-0.00234482,0.449809,-0.287003,-206.379
-0.296538,-0.00179721,0.411266,-0.333005,-207.84
-0.311166,-0.00133742,0.411209,-0.338303,-208.384
-0.25058,-0.00191794,0.455912,-0.289496,-206.389
-0.266662,-0.00163476,0.449023,-0.299833,-204.94
-0.253698,-0.00187134,0.435901,-0.291669,-205.296
-0.268911,-0.00120433,0.434992,-0.293347,-205.328
-0.258721,-0.00239543,0.43472,-0.307326,-204.717
-0.247303,-0.00234364,0.450373,-0.294858,-205.709
-0.304892,-0.0017486,0.434873,-0.340372,-205.237
-0.299024,-0.0017424,0.437278,-0.334379,-204.7
-0.273,-0.00169051,0.451719,-0.307302,-204.812
-0.30365,-0.00175743,0.441234,-0.339309,-205.075
-0.271031,-0.00171868,0.451171,-0.305905,-204.814
-0.294413,-0.00119346,0.427329,-0.318629,-204.807
-0.269207,-0.00192347,0.434668,-0.308235,-204.319
-0.282618,-0.0014248,0.444511,-0.311528,-204.29
-0.251997,-0.00294363,0.452161,-0.311726,-205.954
-0.258117,-0.00220453,0.432175,-0.302848,-204.828
-0.309709,-0.001042,0.444109,-0.330852,-204.882
-0.266028,-0.00200238,0.451818,-0.306658,-204.921
-0.333867,-0.0010922,0.443142,-0.356029,-207.298
-0.30903,-0.00226488,0.439337,-0.354986,-207.13
-0.296956,-0.00150341,0.451838,-0.327461,-204.918
-0.287536,-0.00163591,0.439109,-0.32073,-204.116
-0.279351,-0.00147441,0.437482,-0.309268,-204.215
-0.300946,-0.00186609,0.438071,-0.33881,-205.051
-0.240725,-0.00248023,0.437451,-0.291051,-205.808
-0.28765,-0.00144878,0.428215,-0.317047,-204.564
-0.282624,-0.00184803,0.440392,-0.320122,-204.135
-0.300103,-0.00137402,0.433831,-0.327983,-204.509
-0.265959,-0.00209543,0.4515,-0.308477,-204.888
-0.297921,-0.00145044,0.432127,-0.327351,-204.527
-0.288625,-0.00192669,0.432388,-0.327719,-204.535
-0.296153,-0.00153923,0.443195,-0.327386,-204.385
-0.272501,-0.00194402,0.421776,-0.311947,-205.34
-0.312152,-0.00134484,0.446488,-0.33944,-205.337
-0.295754,-0.00127411,0.428527,-0.321607,-204.685
-0.268867,-0.00210949,0.447771,-0.31167,-204.547
-0.266342,-0.00134981,0.436356,-0.29373,-205.159
-0.292819,-0.00263691,0.432874,-0.346324,-206.691
-0.269037,-0.0014778,0.440951,-0.299023,-204.684
-0.269485,-0.00162007,0.442017,-0.302358,-204.48
-0.306123,-0.00100824,0.45347,-0.326581,-205.356
-0.30263,-0.000412337,0.419647,-0.310997,-207.035
-0.311986,-0.000316947,0.43511,-0.318417,-205.662
-0.284552,-0.0018635,0.437683,-0.322364,-204.178
-0.258199,-0.00312044,0.431119,-0.321515,-206.087
-0.306601,-0.000392759,0.409551,-0.31457,-209.21
-0.306756,-0.000315325,0.410876,-0.313154,-209.069
-0.277284,-0.00138112,0.438606,-0.305308,-204.38
-0.288781,-0.00138917,0.444624,-0.316968,-204.267
-0.282015,-0.000929477,0.445896,-0.300874,-205.133
-0.288215,-0.000796796,0.444902,-0.304383,-205.085
-0.263224,-0.0023618,0.414712,-0.311147,-206.94
-0.296547,-0.00179994,0.46218,-0.333069,-206.419
-0.298716,-0.00181456,0.42863,-0.335535,-205.217
-0.31151,-0.00131577,0.433637,-0.338208,-205.203
-0.296268,-0.00105825,0.435323,-0.317741,-204.446
-0.273359,-0.00239068,0.444612,-0.321868,-204.649
-0.263364,-0.00306523,0.446523,-0.32556,-205.933
-0.286519,-0.00224326,0.455542,-0.332036,-205.716
-0.286378,-0.000685663,0.434857,-0.300291,-205.442
-0.299115,-0.00213338,0.449221,-0.342403,-205.828
-0.298171,-0.00211398,0.449592,-0.341065,-205.72
-0.279961,-0.00218114,0.45085,-0.324218,-204.891
-0.297105,-0.00125198,0.430534,-0.322509,-204.571
-0.278294,-0.00180587,0.434934,-0.314937,-204.153
-0.286613,-0.00160492,0.441907,-0.319178,-204.132
-0.31189,-0.000911639,0.440373,-0.330388,-204.924
