b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.313936,0.0224627,1.91712,0.421289,-0.313936,3.1751,-174.888,1.65618
-0.312659,0.0198609,1.62892,0.41774,-0.312659,2.61612,-175.163,1.60604
-0.275325,0.0228021,1.77414,0.404182,-0.275325,2.50314,-179.834,1.4109
-0.279688,0.012473,2.24246,0.41044,-0.279688,2.24851,-179.39,1.0027
-0.314953,0.0116383,3.80413,0.415072,-0.314953,2.66521,-174.437,0.700611
-0.314066,0.0289951,2.69698,0.428583,-0.314066,2.84082,-174.175,1.05333
-0.311778,0.0326491,6.43328,0.419249,-0.311778,2.86305,-174.285,0.445038
-0.31387,0.0177716,8.5156,0.422216,-0.31387,2.90057,-174.808,0.340619
-0.285257,0.0226717,6.3937,0.419351,-0.285257,2.74191,-176.259,0.428846
-0.306173,0.00697896,5.11215,0.411228,-0.306173,3.03876,-175.082,0.594419
-0.305047,-0.0114494,3.7922,0.418712,-0.305047,3.18508,-176.889,0.839903
-0.294679,0.0194187,4.19625,0.424655,-0.294679,2.63118,-175.154,0.627031
-0.305875,0.0109601,3.33078,0.429459,-0.305875,2.66433,-174.96,0.799911
-0.333658,0.0206867,4.84036,0.428061,-0.333658,2.67232,-174.967,0.552091
-0.29808,0.0357934,4.98491,0.418891,-0.29808,3.12217,-174.895,0.626324
-0.279423,0.0253306,2.45376,0.431825,-0.279423,3.25939,-177.72,1.32832
-0.322062,0.0387048,1.78645,0.427044,-0.322062,3.16748,-175.744,1.77306
-0.337767,0.0418648,2.86085,0.432392,-0.337767,2.75638,-175.837,0.963484
-0.306574,0.0172361,3.92015,0.4288,-0.306574,2.24766,-176.109,0.573359
-0.308897,0.0216452,2.71762,0.439462,-0.308897,2.83885,-175.464,1.04461
-0.321783,0.0151263,2.96982,0.436299,-0.321783,2.8963,-175.079,0.975246
-0.364405,0.0264925,1.92756,0.422057,-0.364405,2.77886,-179.082,1.44165
-0.347398,0.025378,2.94047,0.449283,-0.347398,2.73581,-178.788,0.930397
-0.300684,0.00867073,2.68774,0.406688,-0.300684,3.24399,-176.101,1.20696
-0.322544,0.0235606,2.55852,0.413121,-0.322544,2.76869,-174.169,1.08215
-0.320189,-0.00770389,7.53428,0.426968,-0.320189,3.06468,-176.836,0.406765
-0.325019,0.00502733,8.56217,0.424445,-0.325019,2.67147,-176.069,0.312008
-0.322364,0.0279395,12.6228,0.415087,-0.322364,2.69514,-175.937,0.213514
-0.300115,0.0173883,2.07097,0.424223,-0.300115,3.03186,-175.086,1.46398
-0.32365,0.04496,6.27902,0.426795,-0.32365,2.858,-175.165,0.455166
-0.334343,0.0365439,5.74254,0.430149,-0.334343,2.86338,-175.294,0.498626
-0.324336,0.0092661,1.36373,0.411331,-0.324336,2.69456,-176.644,1.97588
