age_group,n_total,age_mean,age_sd,age_min,age_max,n_females
3,20,3.47,0.34,3.07,3.97,11
4,20,4.61,0.26,4.09,4.98,10
5,20,5.66,0.24,5.01,5.96,12
18,50,31.92,12.15,18,63,36
