b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,s_sage_centered_1.3.,lp__,zs_1_1.1.,zs_1_1.2.,zs_1_1.3.
-0.346102,-6.35285,3.9418,0.376235,-0.346102,1.80201,3.40395,7.31745,-95.5869,0.457155,0.863553,1.85637
-0.289616,-8.93051,4.6842,0.363484,-0.289616,1.48217,3.15282,8.92785,-94.9515,0.31642,0.673076,1.90595
-0.320277,-6.84401,3.31879,0.377083,-0.320277,0.528565,2.10804,6.4997,-94.9793,0.159264,0.635183,1.95845
-0.310896,-8.76094,5.20077,0.36804,-0.310896,1.54243,3.27245,8.94221,-92.4771,0.296577,0.629224,1.7194
-0.317893,-9.08997,6.49334,0.396991,-0.317893,0.0705281,1.41801,7.65984,-97.1573,0.0108616,0.218379,1.17965
-0.317544,-9.18142,7.32296,0.397848,-0.317544,-0.235514,2.23965,8.06192,-102.458,-0.0321611,0.305839,1.10091
-0.315323,-9.11868,7.01797,0.397695,-0.315323,0.493567,1.54102,7.91022,-98.3439,0.070329,0.219583,1.12714
-0.301907,-7.76981,5.48427,0.381113,-0.301907,1.99282,3.19019,8.23145,-92.7474,0.363371,0.581699,1.50092
-0.304151,-7.87599,5.95772,0.378392,-0.304151,2.1282,3.60863,8.62553,-91.6585,0.357217,0.605706,1.44779
-0.315244,-8.37217,4.47082,0.373362,-0.315244,0.230288,1.76593,7.32824,-93.0432,0.0515092,0.394991,1.63913
-0.322767,-8.68652,4.79779,0.378787,-0.322767,0.401853,1.97354,7.93924,-94.6611,0.0837579,0.411343,1.65477
-0.2977,-8.3313,5.16469,0.374626,-0.2977,0.352518,2.10426,7.63522,-93.5251,0.0682554,0.407432,1.47835
-0.318883,-7.25497,12.7454,0.390652,-0.318883,1.8375,3.23384,7.83783,-93.4757,0.14417,0.253726,0.614954
-0.314895,-6.3758,7.93279,0.388687,-0.314895,1.56982,3.1775,7.08947,-93.8058,0.19789,0.400552,0.893691
-0.308067,-6.04172,7.84015,0.387631,-0.308067,1.83353,3.37525,7.02787,-94.7538,0.233864,0.430508,0.896396
