b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,lp__,zs_1_1.1.,zs_1_1.2.
-0.291211,-7.54358,7.78637,0.388618,-0.291211,6.41164,-0.312092,-112.467,0.823444,-0.0400819
-0.297845,-7.9046,7.37739,0.388154,-0.297845,6.56129,-0.339813,-111.705,0.889378,-0.0460615
-0.322678,-8.47248,2.9373,0.381786,-0.322678,6.84773,-0.787239,-111.419,2.3313,-0.268015
-0.324041,-8.37215,2.73941,0.381271,-0.324041,6.90504,-0.701437,-111.428,2.52063,-0.256054
-0.32088,-8.68314,7.3144,0.382211,-0.32088,7.1939,-0.748164,-109.744,0.983526,-0.102286
-0.326539,-8.55773,6.90031,0.378474,-0.326539,7.22723,-0.493108,-110.839,1.04738,-0.0714617
-0.330878,-8.3492,4.40071,0.383569,-0.330878,6.94505,-0.456323,-110.667,1.57817,-0.103693
-0.339126,-8.30247,11.0419,0.391892,-0.339126,7.12161,-0.477192,-113.728,0.644961,-0.0432164
-0.339237,-8.28647,10.8592,0.392221,-0.339237,7.13304,-0.480626,-114.155,0.656868,-0.0442599
-0.329315,-7.85591,8.11012,0.379665,-0.329315,6.67785,-0.570083,-111.777,0.823398,-0.0702929
-0.297012,-6.8574,2.80862,0.395924,-0.297012,5.93296,-0.123614,-114.991,2.11241,-0.0440123
-0.308342,-8.62154,4.90362,0.36669,-0.308342,6.83023,-0.924251,-113.014,1.3929,-0.188484
-0.305658,-8.47908,3.82479,0.367284,-0.305658,6.95759,-0.529899,-112.181,1.81908,-0.138543
-0.314247,-7.93476,3.16307,0.375313,-0.314247,6.56398,-0.777717,-112.032,2.07519,-0.245874
-0.324027,-7.94668,3.12389,0.370482,-0.324027,6.53711,-0.809764,-112.818,2.09262,-0.259216
-0.316522,-9.30855,6.27877,0.398683,-0.316522,7.43763,-0.920063,-112.13,1.18457,-0.146536
-0.303779,-7.83606,3.72525,0.366251,-0.303779,6.49763,-0.733026,-113.095,1.74421,-0.196772
-0.337103,-8.55258,4.0804,0.396906,-0.337103,7.27,-0.448103,-113.176,1.78169,-0.109818
-0.342925,-8.16758,3.60241,0.397492,-0.342925,6.81182,-0.713274,-113.247,1.89091,-0.197999
-0.297414,-9.15713,7.81981,0.406367,-0.297414,7.58188,-0.639948,-114.007,0.969573,-0.0818367
-0.320224,-9.00052,6.09474,0.374861,-0.320224,7.39421,-0.660633,-110.523,1.21321,-0.108394
-0.302441,-8.28873,4.92866,0.38859,-0.302441,6.91172,-0.792937,-111.168,1.40235,-0.160883
-0.311251,-9.22408,8.31329,0.380095,-0.311251,7.57792,-0.996631,-110.827,0.911542,-0.119884
-0.300964,-9.08006,10.1625,0.366833,-0.300964,7.5637,-0.788082,-112.917,0.744279,-0.0775484
-0.315283,-7.51674,7.24464,0.380929,-0.315283,6.10989,-0.35221,-112.593,0.843367,-0.0486166
-0.306603,-7.40561,2.76799,0.379808,-0.306603,6.45704,-0.32068,-114.446,2.33276,-0.115853
-0.298272,-7.90801,4.08948,0.380761,-0.298272,6.40884,-0.743412,-111.658,1.56715,-0.181786
-0.301283,-7.8721,6.16763,0.400623,-0.301283,6.73777,-0.258184,-112.864,1.09244,-0.0418612
-0.333676,-8.6572,3.28664,0.37113,-0.333676,6.86579,-1.02038,-113.802,2.089,-0.310462
-0.312256,-7.73427,4.79537,0.400942,-0.312256,6.27603,-0.708886,-112.405,1.30877,-0.147827
-0.309972,-7.9718,5.07715,0.401751,-0.309972,6.65173,-0.454596,-111.495,1.31013,-0.0895376
-0.280672,-8.03694,3.72752,0.394798,-0.280672,6.6079,-0.606418,-113.726,1.77273,-0.162687
-0.348585,-9.00751,4.5853,0.363811,-0.348585,7.52963,-0.743919,-115.39,1.64212,-0.16224
-0.32313,-8.37406,7.77371,0.374942,-0.32313,6.79093,-0.627654,-110.847,0.873576,-0.0807406
-0.32663,-8.95095,7.58206,0.373927,-0.32663,7.32145,-0.885367,-110.476,0.965628,-0.116771
-0.316266,-7.70314,9.22747,0.380758,-0.316266,6.43642,-0.493975,-110.553,0.697528,-0.0535331
-0.316846,-9.13859,4.15357,0.386022,-0.316846,7.39218,-1.01087,-110.52,1.77972,-0.243373
-0.336199,-7.95498,6.59751,0.37903,-0.336199,6.50966,-0.772743,-111.567,0.986685,-0.117127
-0.308965,-8.85763,11.3732,0.375553,-0.308965,7.14277,-1.10807,-112.242,0.628037,-0.0974282
-0.340571,-8.04792,4.57083,0.378004,-0.340571,6.67719,-0.616366,-111.279,1.46083,-0.134848
-0.305389,-7.84241,2.23442,0.381975,-0.305389,6.47412,-0.499976,-113.197,2.89745,-0.223761
-0.314791,-8.51486,2.88833,0.38948,-0.314791,6.98758,-0.757149,-111.265,2.41925,-0.262141
-0.310989,-8.6782,2.78589,0.386857,-0.310989,7.1867,-0.626051,-111.716,2.57968,-0.224722
-0.316084,-8.47469,2.31791,0.382875,-0.316084,6.99072,-0.682552,-112.592,3.01596,-0.294469
-0.311694,-9.31154,2.45929,0.381658,-0.311694,7.45246,-1.24049,-114.871,3.03033,-0.504409
-0.306145,-9.3205,2.47919,0.385536,-0.306145,7.38949,-1.22529,-115.033,2.98061,-0.494231
-0.316791,-8.75636,2.57283,0.385311,-0.316791,7.10833,-0.772035,-112.203,2.76284,-0.300072
-0.303648,-7.69464,2.33766,0.378474,-0.303648,6.3923,-0.552976,-113.124,2.73448,-0.236551
-0.315316,-9.00789,3.78712,0.371282,-0.315316,7.34448,-0.884702,-110.95,1.93933,-0.233608
-0.322099,-7.86432,5.98013,0.395857,-0.322099,6.68584,-0.491093,-111.357,1.11801,-0.0821208
-0.329651,-7.20395,6.66541,0.382387,-0.329651,5.98028,-0.218525,-112.563,0.897211,-0.0327849
-0.333272,-7.58048,4.93483,0.381917,-0.333272,6.35292,-0.417997,-110.903,1.28736,-0.0847035
-0.328141,-7.17207,5.35707,0.40864,-0.328141,6.11777,-0.231819,-114.311,1.142,-0.0432734
-0.315096,-7.05948,3.56611,0.413036,-0.315096,5.85627,-0.27484,-115.949,1.6422,-0.0770701
-0.327713,-7.41732,3.42622,0.379414,-0.327713,6.2189,-0.187263,-112.393,1.81509,-0.0546557
-0.32766,-7.34653,5.10092,0.377705,-0.32766,6.13893,-0.574849,-111.893,1.20349,-0.112695
-0.276623,-7.56639,3.25193,0.386036,-0.276623,6.53757,-0.182359,-116.208,2.01037,-0.0560772
-0.283718,-7.86263,2.71885,0.391413,-0.283718,6.71269,-0.47786,-115.39,2.46894,-0.175758
-0.326682,-8.6917,5.12465,0.36492,-0.326682,7.26054,-0.910308,-113.549,1.41679,-0.177633
