b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,s_sage_centered_1.3.,lp__,zs_1_1.1.,zs_1_1.2.,zs_1_1.3.
-0.305771,-5.26225,2.91186,0.380638,-0.305771,1.76908,3.5024,6.61632,-100.108,0.607545,1.20281,2.2722
-0.336326,-6.51507,3.82305,0.376666,-0.336326,2.08378,3.75881,7.45547,-96.4566,0.545056,0.983199,1.95014
-0.297712,-8.64941,2.79504,0.370093,-0.297712,0.701821,2.18564,7.77742,-96.7093,0.251095,0.78197,2.78257
-0.307237,-7.26684,3.03946,0.370038,-0.307237,0.792633,2.67522,7.03554,-95.4887,0.260781,0.880162,2.31473
-0.314038,-7.82762,4.90688,0.386147,-0.314038,2.56967,4.02809,9.18508,-96.699,0.523686,0.820905,1.87188
-0.322228,-8.12864,2.7913,0.380219,-0.322228,0.181684,1.741,7.04668,-95.741,0.0650894,0.623723,2.52452
-0.301378,-7.57593,2.16564,0.371452,-0.301378,1.56136,3.11632,8.02204,-97.8347,0.720969,1.43899,3.70424
-0.320053,-8.31969,4.11507,0.366705,-0.320053,1.4891,3.364,8.59829,-92.7762,0.361866,0.817484,2.08947
-0.304951,-7.67762,3.33439,0.377583,-0.304951,1.46831,2.73786,7.61293,-94.6162,0.440355,0.821098,2.28316
-0.318013,-7.18287,3.58882,0.379258,-0.318013,2.1054,3.60765,8.27839,-94.9467,0.586654,1.00525,2.30672
-0.302299,-8.05587,4.28938,0.370354,-0.302299,0.876152,2.71324,7.69778,-93.3665,0.204261,0.632548,1.79461
-0.309937,-8.79621,4.31566,0.370962,-0.309937,0.791957,2.2392,8.20192,-92.9213,0.183508,0.518855,1.9005
-0.309804,-8.06533,5.02153,0.370224,-0.309804,1.62216,3.47375,8.44867,-91.9928,0.323041,0.691771,1.68249
-0.309925,-8.03904,4.95718,0.370434,-0.309925,1.6242,3.36651,8.25353,-93.1126,0.327646,0.679118,1.66496
-0.2985,-7.95725,4.65164,0.375827,-0.2985,2.23309,3.87437,8.97827,-94.0343,0.480065,0.832905,1.93013
