b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.350333,0.0318874,1.24685,0.413271,-0.350333,3.32962,-180.386,2.67044
-0.346187,0.0373094,1.18906,0.412808,-0.346187,2.90783,-178.864,2.44548
-0.329053,0.0409398,1.69068,0.432577,-0.329053,2.90421,-176.234,1.71777
-0.313995,-0.00107318,2.03227,0.431882,-0.313995,3.27419,-176.83,1.6111
-0.331004,0.0352087,4.68332,0.426035,-0.331004,2.80933,-174.577,0.599858
-0.335708,0.0290998,4.84502,0.432097,-0.335708,2.85708,-175.171,0.589694
-0.32724,0.0361345,3.81084,0.424642,-0.32724,2.79753,-174.265,0.734098
-0.323962,0.0176634,2.33986,0.422345,-0.323962,2.95487,-174.286,1.26284
-0.296573,0.0124344,1.70193,0.409297,-0.296573,2.6885,-176.494,1.57968
-0.30891,0.0296785,2.06103,0.428972,-0.30891,2.99132,-174.813,1.45137
-0.318077,0.012611,1.98097,0.413597,-0.318077,3.0316,-174.928,1.53036
-0.328362,0.0333833,3.28591,0.432076,-0.328362,2.52763,-175.19,0.769232
-0.331624,0.0301198,3.28582,0.418537,-0.331624,3.33565,-174.967,1.01516
-0.306841,0.0268262,3.1072,0.418919,-0.306841,2.74756,-173.973,0.884254
-0.303126,0.0253859,5.19847,0.409755,-0.303126,2.97855,-174.625,0.572967
-0.313109,0.0389842,4.71588,0.411845,-0.313109,2.50869,-175.037,0.531967
-0.32281,0.0368684,2.4564,0.414597,-0.32281,2.54789,-174.764,1.03724
-0.331465,-0.00417699,2.21891,0.414932,-0.331465,3.27339,-177.02,1.47523
-0.271908,0.0439889,6.14201,0.441034,-0.271908,3.47157,-181.302,0.565216
-0.316905,0.0162045,8.61946,0.414506,-0.316905,3.62456,-176.799,0.420509
-0.317838,0.0187883,8.19812,0.413984,-0.317838,2.59982,-175.26,0.317124
-0.283178,0.00116643,7.05557,0.42889,-0.283178,2.59435,-178.479,0.367703
-0.299535,0.0258969,6.23635,0.433201,-0.299535,3.01992,-175.398,0.484245
-0.317948,0.0338462,5.61914,0.414219,-0.317948,3.01697,-174.241,0.536909
-0.326711,0.0274106,3.15385,0.415569,-0.326711,2.88402,-173.972,0.914445
-0.315828,0.0199103,1.96086,0.415597,-0.315828,2.83056,-174.471,1.44353
-0.334694,0.02992,5.97093,0.416309,-0.334694,3.12316,-174.956,0.523062
-0.327765,0.0117209,3.98783,0.414211,-0.327765,2.90949,-174.448,0.729594
-0.31368,0.0150144,3.01666,0.423459,-0.31368,3.08807,-174.131,1.02367
