model,elpd_diff,se_diff,elpd_waic,se_elpd_waic,p_waic,se_p_waic,waic,se_waic,modelweight
mgaussianprocess,0,0,-76.059779148777,23.7174446623129,13.294602933327,1.00760651568195,152.119558297554,47.4348893246258,0.999999999999998
mcubic,-33.7522175878322,8.83187515138516,-109.811996736609,24.3355068250262,6.34662501139987,0.556658699950499,219.623993473218,48.6710136500525,0.00000000000000219582714521826
mquadratic,-95.0735611769097,15.1851704174381,-171.133340325687,26.7819023849248,4.49480298548489,0.368158756713153,342.266680651373,53.5638047698495,0.00000000000000000000000000000000000000000512952328949399
mlinear,-127.172744635986,18.1808432882892,-203.232523784763,27.7244063724069,3.26379390209154,0.301689390753021,406.465047569526,55.4488127448138,0.0000000000000000000000000000000000000000000000000000000588272783399756
