b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,lp__,zs_1_1.1.
-0.284796,0.0206163,2.64848,0.411246,-0.284796,2.7684,-176.336,1.04528
-0.305962,0.0126882,3.35379,0.421178,-0.305962,3.18166,-174.488,0.948677
-0.312283,0.0426959,5.13513,0.420688,-0.312283,2.62303,-174.771,0.510801
-0.308131,0.018063,7.84743,0.416325,-0.308131,2.66367,-175.083,0.339432
-0.323957,0.0299857,6.98215,0.413677,-0.323957,2.66895,-174.822,0.382253
-0.316543,0.0147777,2.19954,0.419584,-0.316543,2.88942,-174.335,1.31365
-0.325418,0.0303024,1.75246,0.421514,-0.325418,3.04412,-175.086,1.73706
-0.30687,0.0295649,4.12424,0.424748,-0.30687,2.90663,-174.008,0.704767
-0.330417,0.0362713,5.94966,0.425737,-0.330417,3.1996,-175.121,0.537779
-0.303691,-0.00370789,3.69477,0.436649,-0.303691,3.31075,-177.168,0.896063
-0.328422,0.0537495,3.9899,0.405354,-0.328422,3.21267,-177.066,0.8052
-0.328269,0.045468,2.84119,0.40203,-0.328269,2.4811,-176.898,0.87326
-0.32643,0.0435624,3.06477,0.404872,-0.32643,2.89785,-175.535,0.945536
-0.320037,0.00793033,1.77055,0.439573,-0.320037,2.81709,-176.777,1.59108
-0.326147,0.054057,6.55358,0.41574,-0.326147,2.98072,-176.136,0.454823
-0.297484,0.00691297,2.04067,0.407994,-0.297484,3.14761,-176.621,1.54244
-0.348242,0.0473739,2.79663,0.434016,-0.348242,3.53198,-179.175,1.26294
-0.346555,0.0399873,2.04936,0.434395,-0.346555,2.1658,-178.887,1.05681
-0.317321,0.026657,6.00594,0.408681,-0.317321,2.37646,-175.787,0.395685
-0.298466,0.0572258,4.75357,0.414704,-0.298466,3.49715,-178.226,0.73569
-0.302363,0.0388867,3.61987,0.416207,-0.302363,3.28559,-175.11,0.907653
-0.319139,0.0482653,4.01397,0.418275,-0.319139,2.86012,-174.748,0.712541
-0.31229,0.002978,4.41281,0.419109,-0.31229,3.09916,-174.861,0.70231
-0.314175,0.0116472,4.66305,0.422522,-0.314175,2.79765,-174.269,0.59996
-0.317257,0.0357932,2.50727,0.41829,-0.317257,2.6789,-174.242,1.06845
-0.30137,0.0129209,2.04197,0.425566,-0.30137,3.11212,-175.403,1.52408
-0.325575,0.0354918,4.08412,0.410142,-0.325575,2.77586,-174.491,0.679671
-0.331997,0.0338473,4.7769,0.418768,-0.331997,3.05216,-174.495,0.638943
