b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,s_sage_centered_1.3.,s_sage_centered_1.4.,s_sage_centered_1.5.,s_sage_centered_1.6.,s_sage_centered_1.7.,s_sage_centered_1.8.,lp__,zs_1_1.1.,zs_1_1.2.,zs_1_1.3.,zs_1_1.4.,zs_1_1.5.,zs_1_1.6.,zs_1_1.7.,zs_1_1.8.
-0.302393,-8.83487,4.01619,0.368688,-0.302393,-1.23978,4.10549,6.35405,1.66873,-1.59738,3.39302,2.18153,-1.045,-84.3785,-0.308695,1.02223,1.58211,0.415501,-0.397735,0.844836,0.543183,-0.260196
-0.300712,-11.4186,3.69526,0.35706,-0.300712,-1.13666,3.27848,6.69428,1.6032,-2.40323,3.70814,-0.73479,-2.08705,-81.172,-0.3076,0.887212,1.81159,0.433854,-0.650354,1.00349,-0.198847,-0.564793
-0.323165,-8.44673,3.87,0.374969,-0.323165,1.63567,4.0902,6.55963,1.41854,-1.4736,4.38676,0.806126,1.0562,-83.9243,0.422653,1.0569,1.69499,0.366547,-0.380775,1.13353,0.208301,0.272919
-0.325453,-6.97969,3.52554,0.385295,-0.325453,2.62574,4.07559,6.02675,1.25603,-1.92351,3.13282,-0.67305,0.379713,-86.5741,0.744776,1.15602,1.70945,0.356264,-0.545593,0.888608,-0.190907,0.107703
-0.31291,-14.6494,3.17914,0.359436,-0.31291,-5.14426,2.56672,6.78875,1.19665,-2.13135,4.31622,1.8841,-3.52661,-85.8874,-1.61813,0.807363,2.1354,0.376406,-0.670417,1.35767,0.592645,-1.10929
-0.313622,-14.0602,3.12728,0.357264,-0.313622,-4.96019,2.48273,6.57347,1.20357,-2.16483,4.06621,1.75059,-3.29889,-84.5561,-1.5861,0.793892,2.10197,0.38486,-0.69224,1.30024,0.559779,-1.05487
-0.317658,-7.70089,3.5326,0.370069,-0.317658,2.52079,3.67975,5.89182,1.43925,-1.8554,3.29685,0.985162,-0.914009,-83.8365,0.71358,1.04165,1.66784,0.40742,-0.525221,0.933265,0.278877,-0.258735
-0.316203,-14.3214,3.82263,0.364064,-0.316203,-4.31002,2.56588,7.16551,1.33866,-2.67799,4.22231,-0.551591,-1.60575,-82.3216,-1.1275,0.671234,1.8745,0.350194,-0.700562,1.10456,-0.144296,-0.420065
-0.339574,-12.5599,3.32106,0.365802,-0.339574,0.304523,2.61454,6.75345,1.2767,-0.247667,4.79378,-0.614205,-1.448,-85.5142,0.0916943,0.787261,2.03352,0.384426,-0.0745746,1.44345,-0.184942,-0.436004
-0.334107,-10.8918,2.99593,0.370342,-0.334107,0.24703,2.34437,6.11639,0.746675,-1.09901,3.77186,0.10492,-0.407866,-84.5457,0.0824552,0.782517,2.04156,0.249229,-0.366834,1.25899,0.0350209,-0.13614
-0.312296,-11.4433,5.04678,0.357762,-0.312296,-2.52541,2.7949,6.58008,1.43881,-1.80985,3.40909,-2.41087,-0.366318,-81.1121,-0.5004,0.553799,1.30382,0.285094,-0.358614,0.675497,-0.477704,-0.0725845
-0.302454,-11.9746,5.16234,0.366121,-0.302454,-2.27107,3.28249,6.95109,1.40465,-2.44395,4.09026,1.27285,-0.68472,-79.4207,-0.439931,0.635853,1.3465,0.272095,-0.473419,0.792328,0.246564,-0.132638
-0.330772,-14.3969,4.32878,0.353371,-0.330772,-0.365354,3.56656,7.70746,2.03214,-2.53334,5.92439,1.06003,-3.60032,-82.4102,-0.0844012,0.823917,1.78052,0.46945,-0.585233,1.3686,0.244879,-0.831718
-0.296175,-8.75875,5.15105,0.362802,-0.296175,-2.99292,4.98533,7.00231,2.30283,-3.60408,3.42386,2.42086,-0.203267,-82.0666,-0.58103,0.967828,1.35939,0.44706,-0.699679,0.664692,0.469973,-0.0394613
-0.337876,-11.9904,3.0691,0.366084,-0.337876,-1.16496,3.22054,6.86656,1.56315,-2.30983,3.87603,-0.973967,-1.83101,-83.5277,-0.379578,1.04934,2.23732,0.50932,-0.752608,1.26292,-0.317346,-0.596594
-0.29462,-12.8237,2.92098,0.360081,-0.29462,-2.23919,3.34545,6.99039,1.62088,-2.81023,5.14093,1.87925,-1.15821,-86.1917,-0.766589,1.14532,2.39316,0.554908,-0.962082,1.76,0.643364,-0.396514
-0.335494,-7.94412,3.76276,0.373673,-0.335494,-0.990423,4.37631,6.47803,1.67335,-3.26798,2.58415,1.32309,0.422811,-85.9556,-0.263217,1.16306,1.72162,0.444713,-0.868507,0.68677,0.351629,0.112367
