b_Intercept,b_age_centered,b_Iage_centeredE2,sigma,Intercept,lp__
-0.114356,-0.0215298,0.000297186,0.422935,-0.300744,-173.397
-0.123045,-0.0219306,0.000305419,0.424969,-0.310626,-172.69
-0.0623081,-0.0321682,0.000452673,0.404388,-0.333512,-173.617
-0.08043,-0.0281849,0.000393361,0.405586,-0.320798,-171.872
-0.0694582,-0.0286024,0.000408324,0.414551,-0.305688,-171.302
-0.0910405,-0.0265023,0.000380656,0.41622,-0.307977,-171.242
-0.0891467,-0.0262529,0.000363061,0.41962,-0.315851,-171.271
-0.0579284,-0.0315569,0.000464592,0.425164,-0.306685,-173.187
-0.0476906,-0.0289785,0.000412977,0.420996,-0.287631,-172.697
-0.0701947,-0.0274588,0.000384584,0.454051,-0.303227,-175.637
-0.119377,-0.0258775,0.000360261,0.426189,-0.340823,-172.549
-0.0729761,-0.0294158,0.00040441,0.429008,-0.329009,-172.337
-0.0640352,-0.0297496,0.000409933,0.422194,-0.322185,-171.758
-0.0703985,-0.0304431,0.000425097,0.42207,-0.329841,-171.842
-0.0441879,-0.0304099,0.000402272,0.416923,-0.322193,-174.761
-0.0821151,-0.0305638,0.000462077,0.419858,-0.31284,-174.8
-0.0868057,-0.0304129,0.000449158,0.422963,-0.325356,-172.842
-0.0916801,-0.0310529,0.00046967,0.42009,-0.325929,-175.263
-0.0238173,-0.0334318,0.000447013,0.427487,-0.325432,-175.799
-0.050822,-0.0359506,0.000537912,0.429798,-0.326935,-177.924
-0.00180612,-0.0313721,0.000405168,0.418671,-0.296896,-178.758
-0.00632322,-0.0345055,0.000481238,0.442491,-0.30088,-175.729
0.00360046,-0.0346743,0.000473822,0.442382,-0.300631,-176.762
-0.0128008,-0.0328477,0.000446408,0.449022,-0.303074,-176.983
-0.0169612,-0.0328505,0.000451426,0.449022,-0.303061,-176.39
-0.0868503,-0.0292469,0.000417545,0.430688,-0.328386,-171.866
-0.0830301,-0.0277546,0.000392677,0.431401,-0.315244,-171.484
-0.097815,-0.0286852,0.00040886,0.408371,-0.335274,-172.23
-0.0567291,-0.0282803,0.000395868,0.428809,-0.29692,-172.108
-0.0258377,-0.0317975,0.00045413,0.430915,-0.288292,-173.839
-0.146737,-0.0237417,0.000346008,0.417439,-0.336859,-172.906
-0.0408663,-0.0323759,0.00045226,0.413138,-0.316633,-172.377
-0.0568253,-0.0329536,0.00047201,0.419883,-0.327669,-172.661
-0.053452,-0.0331525,0.000472244,0.419928,-0.328134,-172.712
-0.0692299,-0.0312213,0.00044416,0.416618,-0.328397,-171.88
-0.0987696,-0.0242748,0.000346267,0.406669,-0.29949,-172.757
-0.119092,-0.0234148,0.000318479,0.423989,-0.325782,-172.636
-0.0820026,-0.0293828,0.000432609,0.412913,-0.3136,-172.358
-0.0921721,-0.027884,0.000409094,0.415688,-0.313175,-171.799
-0.103796,-0.0254323,0.000370915,0.410041,-0.30723,-172.152
-0.102372,-0.0268577,0.000393633,0.409692,-0.315584,-172.048
-0.0906551,-0.0317441,0.000455655,0.41663,-0.350741,-174.357
-0.107406,-0.0242874,0.000341797,0.409048,-0.312149,-171.913
-0.0502058,-0.0307904,0.000443306,0.43547,-0.30135,-173.008
-0.146943,-0.0222925,0.000307766,0.420821,-0.33989,-173.598
-0.167458,-0.0214245,0.000309848,0.42124,-0.341038,-174.162
-0.0840224,-0.0266886,0.00039196,0.420694,-0.295211,-172.653
