b_Intercept,b_age_centered,sigma,Intercept,lp__
-0.269812,-0.00227666,0.427865,-0.316008,-204.848
-0.330954,0.0000854311,0.452123,-0.32922,-207.359
-0.282391,-0.00145556,0.451412,-0.311926,-204.713
-0.267059,-0.0022933,0.449178,-0.313591,-204.763
-0.26465,-0.0021455,0.436733,-0.308184,-204.397
-0.288802,-0.00156509,0.43655,-0.320559,-204.142
-0.278788,-0.0018214,0.439319,-0.315745,-204.096
-0.267701,-0.00241918,0.43511,-0.316788,-204.578
-0.268901,-0.00182126,0.456843,-0.305856,-205.413
-0.248554,-0.00333652,0.450508,-0.316254,-206.656
-0.254665,-0.00295784,0.449655,-0.314682,-205.751
-0.29339,-0.00123106,0.44784,-0.318369,-204.533
-0.252337,-0.00286081,0.453345,-0.310385,-205.933
-0.282987,-0.000433755,0.449734,-0.291788,-206.769
-0.260455,-0.00149857,0.453022,-0.290862,-205.954
-0.291897,-0.0019396,0.457482,-0.331253,-205.716
-0.26995,-0.00136066,0.421818,-0.297558,-206.038
-0.301569,-0.000102524,0.440679,-0.303649,-206.379
-0.304561,-0.000879302,0.446902,-0.322402,-204.877
-0.233578,-0.00264356,0.430646,-0.287218,-206.76
-0.280306,-0.000694601,0.455452,-0.2944,-206.608
-0.289804,-0.000599077,0.447902,-0.30196,-205.65
-0.303676,-0.00146255,0.446582,-0.333352,-204.851
-0.309189,-0.00088091,0.441113,-0.327064,-204.818
-0.291137,-0.00176829,0.440948,-0.327017,-204.31
-0.285352,-0.00144892,0.436185,-0.314752,-204.154
-0.274619,-0.00208281,0.425397,-0.316881,-204.928
-0.253258,-0.00291523,0.429072,-0.31241,-205.762
-0.29221,0.000247211,0.449045,-0.287194,-208.827
-0.233195,-0.00268501,0.441776,-0.287676,-206.428
-0.293064,-0.00203316,0.43245,-0.334318,-204.956
-0.31286,-0.00126226,0.431017,-0.338472,-205.405
-0.301951,-0.00166711,0.43115,-0.335778,-205.034
-0.2731,-0.00205145,0.428641,-0.314725,-204.604
-0.27985,-0.00208429,0.42912,-0.322142,-204.647
-0.292225,-0.00191679,0.415963,-0.331118,-206.715
-0.290646,-0.000916954,0.420275,-0.309252,-206.076
-0.230728,-0.00245531,0.428575,-0.280548,-207.506
-0.308161,-0.00185874,0.438506,-0.345876,-205.731
-0.271247,-0.0010981,0.425998,-0.293528,-206.05
-0.277607,-0.00325802,0.468997,-0.343715,-210.086
-0.231918,-0.00288085,0.463503,-0.290373,-208.318
-0.261289,-0.00177314,0.462329,-0.297267,-206.583
-0.309416,-0.000663376,0.439925,-0.322876,-204.99
-0.299186,-0.00178288,0.455707,-0.335362,-205.705
-0.286956,-0.00149058,0.444028,-0.317201,-204.206
-0.260289,-0.00188015,0.449207,-0.298439,-205.067
-0.253602,-0.00201961,0.448211,-0.294582,-205.332
-0.262674,-0.00140578,0.438807,-0.291198,-205.323
-0.267339,-0.000874016,0.436721,-0.285073,-206.472
-0.246424,-0.0023614,0.43477,-0.294338,-205.445
-0.24591,-0.00266182,0.433544,-0.29992,-205.497
-0.291789,-0.000269213,0.43886,-0.297251,-206.365
-0.257727,-0.00212377,0.438239,-0.30082,-204.691
-0.281775,-0.00133002,0.437126,-0.308762,-204.298
-0.293606,-0.000783226,0.437886,-0.309498,-204.822
-0.295082,-0.0011262,0.452408,-0.317933,-204.967
-0.266191,-0.00231547,0.436737,-0.313174,-204.442
-0.263282,-0.00250021,0.438031,-0.314014,-204.633
-0.315715,-0.000600711,0.43552,-0.327904,-205.325
-0.280204,-0.00188412,0.4407,-0.318434,-204.132
-0.278402,-0.00208625,0.44217,-0.320734,-204.284
-0.312422,-0.00122675,0.449464,-0.337314,-205.42
-0.307835,-0.00169752,0.441164,-0.342279,-205.338
-0.287272,-0.00233451,0.439891,-0.334641,-205.044
-0.267215,-0.00336202,0.44262,-0.335433,-207.033
-0.256401,-0.00299645,0.459579,-0.317201,-206.833
-0.259538,-0.00294094,0.431999,-0.319212,-205.592
-0.308913,-0.000539263,0.446358,-0.319855,-205.318
-0.238865,-0.00277957,0.456717,-0.295264,-206.857
-0.231766,-0.00305139,0.450662,-0.293681,-206.921
-0.274258,-0.0028584,0.430835,-0.332257,-205.971
-0.240411,-0.00219018,0.445517,-0.284851,-206.243
-0.311267,-0.0016779,0.441725,-0.345313,-205.652
-0.279552,-0.000615946,0.425664,-0.29205,-206.905
-0.322336,-0.000264439,0.453214,-0.327701,-206.546
-0.302563,-0.000692969,0.447017,-0.316624,-205.077
-0.26751,-0.00235559,0.442068,-0.315307,-204.48
-0.305466,-0.000481047,0.435754,-0.315227,-205.292
-0.264594,-0.0023351,0.433997,-0.311975,-204.557
-0.257028,-0.00273863,0.434633,-0.312597,-205.091
-0.305287,-0.000547849,0.448747,-0.316403,-205.418
-0.314882,-0.000188847,0.447462,-0.318713,-206.079
-0.253737,-0.00301951,0.426772,-0.315005,-206.176
-0.267386,-0.00226569,0.431293,-0.313359,-204.6
-0.304612,-0.000912956,0.447195,-0.323137,-204.869
-0.281435,-0.00168478,0.458273,-0.31562,-205.388
-0.262723,-0.00218343,0.423121,-0.307027,-205.453
-0.28906,-0.000502593,0.464113,-0.299258,-207.735
-0.280534,-0.000279628,0.459266,-0.286208,-208.513
-0.248326,-0.00247913,0.443809,-0.29863,-205.245
-0.288738,-0.00228609,0.44306,-0.335124,-205.076
-0.295211,-0.00169593,0.448013,-0.329623,-204.695
-0.262973,-0.00211753,0.424668,-0.305939,-205.251
-0.301225,-0.0012043,0.442688,-0.325662,-204.47
-0.277,-0.00182253,0.447425,-0.31398,-204.37
-0.291063,-0.00134222,0.448072,-0.318298,-204.48
-0.333635,-0.000598435,0.424955,-0.345778,-207.564
-0.311203,-0.00240541,0.435318,-0.360011,-208.167
-0.348146,-0.00100858,0.434747,-0.368611,-209.703
-0.239158,-0.00360637,0.438638,-0.312334,-207.095
-0.249359,-0.00318578,0.436612,-0.314001,-205.949
-0.319755,-0.000646825,0.424073,-0.332879,-206.406
-0.275462,-0.00236513,0.423637,-0.323452,-205.498
-0.239682,-0.00211642,0.421155,-0.282626,-207.803
-0.246943,-0.00158415,0.419721,-0.279086,-208.394
-0.311922,-0.00186821,0.451741,-0.349829,-206.667
-0.302316,-0.000991831,0.438173,-0.322441,-204.532
-0.303029,-0.000846791,0.43152,-0.320211,-204.892
-0.310951,-0.000481489,0.434927,-0.320721,-205.351
-0.279991,-0.00198035,0.434577,-0.320174,-204.248
-0.313297,-0.000683829,0.438085,-0.327173,-205.102
-0.270594,-0.0012987,0.4568,-0.296946,-205.961
-0.254111,-0.00182482,0.449963,-0.291138,-205.667
-0.258276,-0.000654647,0.446215,-0.271559,-208.722
-0.232708,-0.00219223,0.447878,-0.27719,-207.326
-0.252927,-0.00138995,0.432734,-0.281131,-206.676
-0.247766,-0.00198234,0.441762,-0.287989,-205.666
-0.239655,-0.00250292,0.433057,-0.290441,-206.054
-0.287585,-0.0010877,0.42923,-0.309655,-204.82
-0.269747,-0.00209467,0.413193,-0.31225,-206.983
-0.250121,-0.00147132,0.430117,-0.279975,-206.984
-0.228931,-0.00263617,0.42441,-0.282421,-207.987
-0.319294,0.000197089,0.424863,-0.315295,-207.879
-0.280862,-0.00164669,0.423164,-0.314275,-205.063
-0.272495,-0.00179097,0.453762,-0.308835,-204.971
-0.267119,-0.00228225,0.420127,-0.313428,-205.819
-0.277531,-0.00255008,0.453021,-0.329274,-205.65
-0.251898,-0.00384704,0.451512,-0.329957,-208.541
-0.246017,-0.00242663,0.437523,-0.295255,-205.373
-0.259235,-0.00205616,0.452522,-0.300956,-205.265
-0.280579,-0.000573191,0.434942,-0.292209,-206.251
-0.280597,-0.000734557,0.438096,-0.295501,-205.62
-0.248375,-0.00222768,0.426582,-0.293577,-205.948
-0.249181,-0.00234392,0.437742,-0.296741,-205.162
-0.322435,-0.00153074,0.44481,-0.353494,-206.729
-0.296038,-0.00201242,0.432398,-0.336871,-205.136
-0.289319,-0.00140585,0.430803,-0.317845,-204.395
-0.29373,-0.00128254,0.436494,-0.319753,-204.25
-0.282366,-0.00252502,0.431487,-0.333601,-205.452
-0.32325,0.000170575,0.439997,-0.319789,-206.849
-0.294773,-0.00158236,0.416805,-0.326881,-206.29
-0.265148,-0.00229447,0.463726,-0.311705,-206.491
-0.29233,-0.00132444,0.417112,-0.319204,-206.126
-0.291867,-0.0010069,0.469052,-0.312297,-207.47
-0.272867,-0.00196741,0.415643,-0.312788,-206.377
-0.289362,-0.000689108,0.434892,-0.303345,-205.266
-0.289552,-0.00193018,0.43426,-0.328716,-204.5
-0.283347,-0.00144658,0.438454,-0.312699,-204.148
-0.248041,-0.00185689,0.425079,-0.285719,-206.721
-0.273893,-0.0016227,0.428681,-0.306819,-204.661
-0.28067,-0.00116233,0.423568,-0.304254,-205.529
-0.300034,-0.000190173,0.424773,-0.303893,-207.078
-0.321627,-0.000501316,0.449488,-0.331799,-205.974
-0.33203,-0.000103143,0.423877,-0.334123,-207.741
-0.289194,-0.000734372,0.462157,-0.304095,-206.841
-0.263187,-0.00241044,0.46011,-0.312097,-206.057
-0.2875,-0.00143021,0.462897,-0.31652,-206.097
-0.276574,-0.00195741,0.43566,-0.316292,-204.179
-0.274351,-0.00208412,0.434283,-0.31664,-204.291
-0.244777,-0.00335874,0.433963,-0.312929,-206.508
-0.249961,-0.00341882,0.426507,-0.319331,-207.264
-0.269728,-0.00226577,0.427745,-0.315702,-204.849
-0.274009,-0.00270134,0.433021,-0.328821,-205.365
-0.300398,-0.000787176,0.444525,-0.316371,-204.822
-0.269688,-0.0013202,0.443895,-0.296476,-204.996
-0.277042,-0.00201864,0.425074,-0.318002,-204.928
-0.259334,-0.00228958,0.449183,-0.305791,-204.946
-0.290257,-0.0019687,0.434777,-0.330203,-204.573
-0.311274,-0.000841894,0.436096,-0.328357,-204.952
-0.303627,-0.00233261,0.452866,-0.350958,-207.191
-0.308698,-0.00150482,0.449008,-0.339232,-205.404
-0.294087,-0.00235566,0.452435,-0.341885,-206.22
-0.277227,-0.00294739,0.441332,-0.337032,-206.165
-0.246071,-0.0026994,0.459161,-0.300843,-206.679
-0.275113,-0.00155721,0.469986,-0.30671,-207.466
