b_Intercept,b_age_centered,b_Iage_centeredE2,sigma,Intercept,lp__
-0.0527166,-0.0295231,0.000409233,0.426108,-0.306861,-171.764
-0.0913972,-0.0291104,0.000426762,0.426107,-0.322394,-172.093
-0.130338,-0.024605,0.000356738,0.433967,-0.328934,-172.727
-0.131881,-0.0224133,0.000325567,0.441204,-0.312276,-174.209
-0.0798786,-0.0299072,0.000426613,0.40784,-0.327169,-171.99
-0.123325,-0.0241579,0.000341166,0.42061,-0.325973,-171.647
-0.137529,-0.0227952,0.000332481,0.421541,-0.319847,-172.448
-0.0634535,-0.0285198,0.000393973,0.411661,-0.310101,-171.662
-0.0559298,-0.0289922,0.000406681,0.414673,-0.301454,-171.595
-0.0712722,-0.0263939,0.000372589,0.412909,-0.292807,-172.285
-0.0650855,-0.0298073,0.000424227,0.418411,-0.312361,-171.18
-0.134129,-0.0226333,0.000332,0.406515,-0.313568,-173.459
-0.114129,-0.0258422,0.000387708,0.432908,-0.311727,-173.656
-0.0855649,-0.0254758,0.000345771,0.433153,-0.311074,-172.753
-0.0808497,-0.0273823,0.000382165,0.418783,-0.314369,-171.02
-0.116771,-0.0267191,0.000389692,0.405075,-0.33049,-172.771
-0.131541,-0.0213123,0.00028864,0.401188,-0.320719,-175.131
-0.139639,-0.0221679,0.00031825,0.406313,-0.321222,-173.249
-0.118666,-0.0221102,0.000291577,0.407499,-0.321558,-174.981
-0.120247,-0.0221103,0.000293426,0.407509,-0.321581,-174.657
-0.117568,-0.022528,0.000310569,0.446252,-0.31293,-174.965
-0.130892,-0.0243033,0.000338843,0.423037,-0.338449,-172.54
-0.0583048,-0.0288028,0.000413229,0.421521,-0.294466,-172.066
-0.115677,-0.0237723,0.000339302,0.417204,-0.312073,-171.683
-0.102693,-0.0240287,0.000331281,0.410599,-0.311051,-172.205
-0.0894648,-0.025122,0.000359765,0.412617,-0.296,-172.309
-0.00644262,-0.0341974,0.000483416,0.421253,-0.29291,-174.158
-0.0686262,-0.0278002,0.000392949,0.400947,-0.301536,-172.818
-0.0802205,-0.0277918,0.000406485,0.400982,-0.301553,-173.558
-0.0743002,-0.028036,0.000391782,0.427494,-0.312979,-171.308
-0.0711626,-0.0287022,0.00041322,0.420671,-0.30529,-171.388
-0.110853,-0.0253959,0.000366735,0.427506,-0.31707,-171.6
-0.0699748,-0.0295454,0.000414533,0.412302,-0.320106,-171.368
-0.100344,-0.0252719,0.000350263,0.426107,-0.31793,-171.555
-0.104208,-0.0262413,0.000377775,0.429637,-0.318276,-171.568
-0.120458,-0.0278765,0.000399973,0.419215,-0.348998,-173.175
-0.058953,-0.0293186,0.000421236,0.410802,-0.298834,-172.13
-0.106051,-0.0258158,0.000373231,0.434336,-0.315314,-172.161
-0.107151,-0.0257743,0.000373236,0.432653,-0.315567,-172.024
-0.0395466,-0.0312961,0.00044973,0.424246,-0.295537,-172.681
-0.00523007,-0.0313014,0.000408964,0.424297,-0.295685,-177.309
-0.0185548,-0.0313059,0.000424818,0.42434,-0.295739,-173.929
