b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,s_sage_centered_1.3.,s_sage_centered_1.4.,s_sage_centered_1.5.,s_sage_centered_1.6.,s_sage_centered_1.7.,s_sage_centered_1.8.,lp__,zs_1_1.1.,zs_1_1.2.,zs_1_1.3.,zs_1_1.4.,zs_1_1.5.,zs_1_1.6.,zs_1_1.7.,zs_1_1.8.
-0.323404,-10.2115,3.85288,0.356633,-0.323404,1.01748,3.98492,6.79566,1.73262,-3.10744,4.36551,0.196419,-1.0109,-82.12,0.264083,1.03427,1.76379,0.449694,-0.806523,1.13305,0.0509798,-0.262376
-0.322041,-10.6695,4.33848,0.355214,-0.322041,2.07079,4.39959,7.31828,2.08433,-3.01128,5.47445,0.202475,-0.736421,-82.3034,0.477307,1.01409,1.68683,0.480428,-0.694087,1.26184,0.0466695,-0.169742
-0.33231,-7.99077,2.64683,0.356059,-0.33231,-1.15542,2.95119,5.54811,0.975863,-1.59462,2.29717,-0.565109,0.306939,-86.8086,-0.436531,1.11499,2.09614,0.368692,-0.602463,0.867894,-0.213504,0.115965
-0.325897,-10.4625,2.46088,0.35257,-0.325897,-0.447553,3.17596,6.88706,1.13182,-0.97171,3.09244,-0.156762,0.71946,-88.102,-0.181867,1.29058,2.79861,0.459925,-0.394863,1.25664,-0.0637016,0.292359
-0.318484,-11.658,2.98113,0.370199,-0.318484,-2.1546,3.68694,7.34277,1.67345,-3.13025,3.1777,-1.43573,-0.540534,-87.0905,-0.722747,1.23676,2.46309,0.561349,-1.05002,1.06594,-0.481605,-0.181319
-0.311494,-13.0289,3.56135,0.355742,-0.311494,-4.25324,4.45475,7.37074,2.35415,-4.86275,5.00639,2.21024,-3.49643,-85.9738,-1.19428,1.25086,2.06965,0.661029,-1.36542,1.40576,0.62062,-0.98177
-0.308707,-8.33245,2.90335,0.351688,-0.308707,-0.329653,3.7854,6.02046,1.33785,-1.66876,4.23903,0.893184,1.18168,-86.5752,-0.113542,1.3038,2.07362,0.460796,-0.574769,1.46004,0.307639,0.407007
-0.322449,-9.47183,3.32854,0.3824,-0.322449,-0.530213,3.88007,7.03778,1.64356,-1.04412,2.93098,-1.43673,0.183054,-87.9374,-0.159293,1.1657,2.11437,0.493778,-0.313688,0.88056,-0.431639,0.0549952
-0.319516,-10.419,2.67044,0.381979,-0.319516,-1.04346,3.37212,6.21479,1.37003,-2.57975,3.75117,-0.956063,-1.63427,-87.1644,-0.390743,1.26276,2.32725,0.513034,-0.966038,1.4047,-0.358016,-0.611984
-0.326168,-11.3336,3.07625,0.377434,-0.326168,0.335054,4.17541,7.49403,2.02843,-2.68493,4.64843,0.254668,-0.899296,-85.3798,0.108916,1.35731,2.43609,0.659383,-0.872792,1.51107,0.0827852,-0.292335
-0.320143,-11.7981,2.34587,0.366627,-0.320143,-1.90591,2.73195,6.80465,1.13309,-1.71469,3.58525,-0.587538,0.660513,-88.2046,-0.812452,1.16458,2.9007,0.483014,-0.73094,1.52832,-0.250456,0.281564
-0.316412,-11.1747,2.68271,0.373335,-0.316412,0.318954,3.32627,6.7709,1.48973,-2.33666,4.25855,-3.23444,-0.985749,-86.5177,0.118893,1.23989,2.52391,0.555309,-0.87101,1.58741,-1.20566,-0.367446
-0.32052,-10.7528,2.56371,0.348239,-0.32052,-2.91248,3.44805,6.47153,1.58606,-2.32035,4.17139,1.40678,-0.724731,-86.3913,-1.13604,1.34495,2.52428,0.618657,-0.905076,1.62709,0.548729,-0.282688
-0.326326,-9.06556,3.48984,0.358529,-0.326326,-2.43699,4.40687,6.74679,1.82893,-3.09652,3.79853,1.83061,0.574381,-82.09,-0.69831,1.26277,1.93326,0.524073,-0.887294,1.08845,0.524553,0.164586
-0.309361,-14.8922,3.60436,0.369011,-0.309361,-1.45914,3.32994,7.6094,1.85568,-3.49602,5.71682,0.442981,-4.10166,-84.8962,-0.404827,0.923865,2.11117,0.514844,-0.969943,1.58608,0.122901,-1.13797
-0.303479,-16.8945,3.67604,0.361884,-0.303479,-5.10871,3.76787,8.32294,2.33308,-5.36924,5.68044,-0.114597,-4.7945,-87.0269,-1.38973,1.02498,2.2641,0.634673,-1.4606,1.54526,-0.031174,-1.30426
-0.306222,-16.1139,3.8933,0.37151,-0.306222,-5.36008,3.36404,7.72915,2.16732,-3.33241,5.21543,2.19927,-5.52115,-85.3368,-1.37674,0.864059,1.98524,0.556678,-0.855934,1.33959,0.564885,-1.41811
-0.293897,-15.5435,3.29794,0.370999,-0.293897,-1.68513,2.34956,7.07494,1.30056,-2.75186,3.7644,1.56006,-6.57235,-90.3927,-0.510963,0.712434,2.14526,0.394354,-0.834419,1.14144,0.473041,-1.99287
-0.304836,-12.755,2.96548,0.373788,-0.304836,-3.3313,2.16707,5.90697,0.853233,-2.80369,3.31035,-1.58609,-3.0604,-88.7999,-1.12336,0.730766,1.99191,0.287722,-0.945441,1.11629,-0.534849,-1.03201
