Model,WAIC,SE_WAIC,Weight,ELPD_DIFF,SE_ELPD_DIFF
Magnet mean (scaled) + Perspective-taking aggregate (scaled),200.827419941456,16.1624775290113,0.923062568245885,0,0
Magnet mean (scaled),206.50920839096,16.9232927483605,0.053882340804228,-2.84089422475192,2.64140443403239
Magnet mean (scaled) + ToM aggregate (scaled),208.514814189027,16.7893169443136,0.0197667235749747,-3.84369712378555,2.37572152309947
Perspective-taking aggregate (scaled),212.207606861813,15.4201901086736,0.00311928422345486,-5.69009346017852,2.48388672133704
Null model with Age (scaled),218.719744022173,15.9556052897152,0.000120216016111445,-8.94616204035866,3.35140902251159
ToM aggregate (scaled),220.520114356215,15.8294274638648,0.000048867135346131,-9.84634720737951,3.08547044752961
