b_Intercept,bs_sage_centered_1,sds_sage_centered_1,sigma,Intercept,s_sage_centered_1.1.,s_sage_centered_1.2.,lp__,zs_1_1.1.,zs_1_1.2.
-0.307608,-9.06433,5.66541,0.388317,-0.307608,7.27083,-0.93012,-110.62,1.28337,-0.164175
-0.321717,-8.15394,3.73424,0.371779,-0.321717,6.51701,-0.791728,-112.222,1.74521,-0.212019
-0.297356,-8.81688,4.17978,0.367594,-0.297356,7.35955,-0.596983,-112.596,1.76075,-0.142826
-0.324491,-8.78946,3.57967,0.396098,-0.324491,7.26255,-0.732818,-111.302,2.02883,-0.204717
-0.324188,-7.58558,5.08349,0.3709,-0.324188,6.221,-0.516836,-111.536,1.22377,-0.10167
-0.308624,-9.0589,2.7715,0.398753,-0.308624,7.49814,-0.835626,-113.582,2.70545,-0.301507
-0.310472,-9.05772,2.43822,0.391854,-0.310472,7.55882,-0.654308,-114.281,3.10014,-0.268355
-0.325737,-7.74641,7.62954,0.376008,-0.325737,6.84355,0.0256903,-115.716,0.896981,0.00336722
-0.315467,-9.07194,2.71357,0.398693,-0.315467,7.34253,-0.610741,-115.223,2.70585,-0.225069
-0.306787,-8.87885,3.12295,0.39618,-0.306787,7.05894,-0.901701,-113.227,2.26034,-0.288734
-0.318454,-8.07383,5.30576,0.399337,-0.318454,6.68087,-0.445363,-111.243,1.25917,-0.0839395
-0.310656,-7.96372,4.86574,0.396233,-0.310656,6.55065,-0.875192,-112.343,1.34628,-0.179868
-0.326316,-7.72253,3.83414,0.389118,-0.326316,6.51694,-0.203855,-111.816,1.69971,-0.0531683
-0.332995,-7.66308,3.42113,0.390541,-0.332995,6.17457,-0.652646,-112.865,1.80483,-0.190769
-0.328415,-7.84699,3.27705,0.399138,-0.328415,6.25458,-0.774866,-114.038,1.9086,-0.236453
-0.327038,-8.94727,5.0655,0.407443,-0.327038,7.12252,-0.547672,-117.525,1.40609,-0.108118
-0.332468,-8.08564,4.93356,0.400561,-0.332468,6.51236,-1.04593,-114.523,1.32001,-0.212004
-0.34372,-8.48572,4.8203,0.405139,-0.34372,7.08334,-0.490266,-113.896,1.46948,-0.101709
-0.34881,-8.21663,5.7102,0.385033,-0.34881,6.86755,-0.792721,-113.408,1.20268,-0.138825
-0.309958,-9.17789,4.45336,0.394892,-0.309958,7.40762,-1.15177,-111.924,1.66338,-0.258629
-0.31544,-8.03695,3.05467,0.370513,-0.31544,6.63864,-0.771948,-112.286,2.17327,-0.252711
-0.316197,-8.12547,2.43912,0.381217,-0.316197,6.82429,-0.292239,-113.432,2.79785,-0.119813
-0.316782,-7.93364,6.34487,0.364638,-0.316782,6.63709,-0.735209,-112.885,1.04606,-0.115875
-0.313059,-7.79473,5.43879,0.369274,-0.313059,6.68646,-0.246468,-112.121,1.2294,-0.0453167
-0.340798,-7.42933,5.53026,0.386623,-0.340798,6.25456,-0.4922,-112.297,1.13097,-0.0890013
-0.322235,-8.14066,3.57144,0.377593,-0.322235,6.75777,-0.715668,-110.713,1.89217,-0.200387
-0.310541,-8.95976,6.62083,0.387247,-0.310541,7.21865,-0.964841,-110.25,1.09029,-0.145728
-0.303004,-8.80502,5.00629,0.388371,-0.303004,7.10883,-0.863562,-110.477,1.41998,-0.172496
-0.299271,-8.43045,3.34027,0.376408,-0.299271,6.88479,-0.666895,-111.387,2.06115,-0.199653
